"created","id","name","rsvp_limit","status","time","local_date","local_time","rsvp_close_offset","updated","utc_offset","waitlist_count","yes_rsvp_count","link","description","visibility","duration","how_to_find_us","manual_attendance_count","venue.id","venue.name","venue.lat","venue.lon","venue.repinned","venue.address_1","venue.city","venue.country","venue.localized_country_name","venue.zip","venue.state","group.created","group.name","group.id","group.join_mode","group.lat","group.lon","group.urlname","group.who","group.localized_location","group.region"
1510069170000,"244898543","introduction <- function(machine_learning){}",70,"upcoming",1511283600000,"2017-11-21","18:00","PT6H",1510069989000,3600000,1,70,"https://www.meetup.com/R-Ladies-Budapest/events/244898543/","<p><b>Szervezési részletek</b></p> <p>A KSH-s biztonsági előírásokat nekünk is teljesítenünk kell, így most arra kérnénk Benneteket:</p> <p>• a teljes és pontos nevetekkel iratkozzatok fel</p> <p>• legfeljebb kedd délig</p> <p>• legyen Nálatok fényképes igazolvány, hogy a bejáratnál esetleg tudjátok igazolni Magatokat.</p> <p><b>----------------------------------------------------------------------------------</b></p> <p><b>Menetrend: </b></p> <p><br/>18:00 -- 19:00 Machine learning bevezető (Windhager-Pokol Eszter)</p> <p><br/>19:00 -- 19:20 Szünet (jól megérdemelt pizzázás, hogy bírjuk szusszal a végéig)</p> <p><br/>19:20 -- 20:20 Building a recommender system in R (Krisztina Shinkovych)</p> <p><br/>-------------------------------------------------------------------------------- <b><br/></b></p> <p><b>Machine learning bevezető </b></p> <p><br/>Az első előadásban a machine learning fontosabb típusaival, algoritmusaival ismerkedünk meg alapszinten. Bemutatom az egyes típusokhoz tartozó legjellemzőbb üzleti problémákat.<br/>Ez az előadás kivételesen nem workshop jellegű lesz, azaz nem fogunk kódolni. Az előadás célja, hogy mindenkinek legyen egy alapvető képe a különböző machine learning módszerekről és azok használatáról, hogy a későbbi meetupok során alaposabban megismerkedhssünk az egyes algoritmusokkal (akkor már R kódok futtatása mellett).</p> <p>


Az előadás második része angol nyelven lesz megtartva. Ha igény lesz rá, megpróbálunk a fordításban segítséget nyújtani.</p> <p><b>Building a recommender system in R </b><br/>Recommender systems are something we encounter every day from e-commerce websites, booking platforms to streaming services and this is a short introduction to what is happening behind the scenes. Using R's ""recommenderlab"" package we are going to build simple models that make recommendations on Amazon product dataset. This presentation offers insights into:</p> <p>- what are the types of recommender systems and how do we use them<br/>- how do we put together a simple recommender system in R using collaborative filtering technique<br/>preparing the data,<br/>building the model using recommenderlab,<br/>evaluating recommender's performance and choosing the best model</p> ","public",,,,25457489,"KSH Főépület",47.5119476318359,19.0304927825928,FALSE,"1024, Keleti Károly u. 7.","Budapest","hu","Hungary",,,1485298222000,"R-Ladies Budapest",22066895,"open",47.5099983215332,19.0799999237061,"R-Ladies-Budapest","Members","Budapest, Hungary","en_US"
1509744262000,"244796999","Lightning Round Talks",,"upcoming",1511319600000,"2017-11-21","19:00",,1510807791000,-28800000,0,13,"https://www.meetup.com/rladies-san-diego/events/244796999/","<p>For this meeting we'll be doing a series of Lightning Round Talks. Current planned talks are:</p> <p>• ""R Basics and Differences from Other Languages"" presented by Megan Chang and Page Piccinini</p> <p>• ""Making an API package"" presented by Katie Heineman</p> <p>• ""Basic Linear Algebra Subprograms (BLAS) and how to use other people's hard work to make your statistical code run faster"" presented by Amy Szczepanski</p> <p>See you there!</p> ","public",7200000,,,25591421,"Downtown Works",32.7180099487305,-117.168029785156,FALSE,"550 W B Street","San Diego","us","USA","","CA",1497649358000,"R-Ladies San Diego",24506595,"open",32.75,-117.169998168945,"rladies-san-diego","San Diegan R-Ladies","San Diego, CA","en_US"
1510267850000,"244977342","Tercera reunión de RLadies Santiago",40,"upcoming",1511384400000,"2017-11-22","18:00",,1511012984000,-10800000,1,40,"https://www.meetup.com/rladies-scl/events/244977342/","<p>¡Ya tenemos fecha para nuestra reunión de noviembre! En este tercer meetup nos introduciremos en el “tidyverse”, una colección de paquetes de R que hacen el trabajo con datos mucho más amigable :) Nos concentraremos principalmente en la importación, transformación y exploración de datos. No es necesario tener conocimientos previos, solo tener descargado R (<a href=""https://cran.r-project.org/"" class=""linkified"">https://cran.r-project.org/</a>) , RStudio (<a href=""https://www.rstudio.com/products/rstudio/download/"" class=""linkified"">https://www.rstudio.com/products/rstudio/download/</a>) y los paquetes que conforman el tidyverse. Para esto último, debes correr el siguiente código: install.packages(""tidyverse”). Si tienes dudas sobre cómo hacer esto último, ¡escríbenos!</p> <p>En esta ocasión nos reuniremos en IBM, que se encuentra a pasos del metro Salvador.</p> <p>Además, participará Pablo Reinoso de IBM, con una charla sobre Data Science Experience - DSX.</p> <p>Trae tu computador, ya que es una sesión práctica :)</p> <p>¡Te esperamos!</p> ","public",,"auditorio 7",,25182503,"IBM Chile",-33.4334716796875,-70.6260223388672,FALSE,"Providencia 655, Providencia","Santiago","cl","Chile",,,1500409431000,"R-Ladies Santiago",25039094,"open",-33.4599990844727,-70.6399993896484,"rladies-scl","RLadies","Santiago, Chile","en_US"
1510841320000,"245159556","Creating an R package",,"upcoming",1511362800000,"2017-11-22","19:00",,1511175894000,14400000,0,7,"https://www.meetup.com/rladies-tbilisi/events/245159556/","<p>The possibility of organizing code in packages is one of the main advantages of R. Packages can also be made publicly available so that everybody can benefit from them. This talk will show step-by-step how to create an R package from scratch, using a hands-on example.</p> <p>Read about R packages here: <a href=""https://www.statmethods.net/interface/packages.html"" class=""linkified"">https://www.statmethods.net/interface/packages.html</a></p> <p>Vincenzo Lagani is hosting this meetup, in English.</p> <p>===========================<br/>R-ს ერთ-ერთი მთავარი უპირატესობა არის კოდების ორგანიზება პაკეტებში.  ეს პაკეტები შესაძლოა ასევე გახდეს საჯარო, რაც მათ ყველასთვის ხელმისაწვდომსა და სარგებლის მომტანს გახდის. ამ შეხვედრაზე გავიგებთ თუ როგორ შევქმნათ პაკეტები R-ში საწყისი დონიდან, პრაქტიკული მაგალითების საშუალებით.</p> <p>დამატებით ინფორმაციას R-ს პაკეტებზე გაეცანით შემდეგ ბმულზე: <a href=""https://www.statmethods.net/interface/packages.html"" class=""linkified"">https://www.statmethods.net/interface/packages.html</a></p> ","public",3600000,,,24812484,"ჯეოლაბი GeoLab",41.7176704406738,44.7848320007324,FALSE,"8 Merab Aleksidze St, Tbilisi 0160","Tbilisi","ge","Georgia",,,1480449123000,"R-Ladies Tbilisi",21313292,"approval",41.7200012207031,44.7900009155273,"rladies-tbilisi","Member","Tbilisi, Georgia","en_US"
1509675922000,"244773109","Introduction to R Shiny",90,"upcoming",1511418600000,"2017-11-23","17:30",,1511141821000,39600000,0,88,"https://www.meetup.com/R-Ladies-Melbourne/events/244773109/","<p><img src=""https://secure.meetupstatic.com/photos/event/4/5/0/9/600_465857673.jpeg"" /></p> <p>Hi Everyone!</p> <p><br/>This month R-Ladies Melbourne is thrilled to announce that two of our members, Marie Trussart and Soroor Hediyeh-zadeh, will be presenting an introductory R Shiny workshop! </p> <p>As massive high-dimensional data are being produced, fully interactive visualisation of these large data sets becomes critical to unravel the patterns from large complexities. It also permits the user to play with the data and make the information more understandable. In addition, interactive data manipulation enables to study the behaviour of a mathematical model, as the parameters of the model are being modified which can be helpful for example in developing interactive education materials.It is even used by newspapers like the New York Times and scientific papers like Science.</p> <p>R shiny is an excellent framework to turn an R analysis into an interactive web application and we will be presenting a two-hour introductory workshop to build interactive apps with R Shiny.</p> <p>In this workshop, we will cover the structure of R Shiny Apps, and the concept of reactivity, where an 'event' such as changing the value of the input or selecting a row in a table, triggers a set of reactions and results in updating the output value. We will also briefly talk about ways to publish and distribute an app publicly.</p> <p>A little about Marie and Soroor:</p> <p>Marie graduated from the Institut National des Sciences Appliquées de Toulouse in France in the major of engineering and mathematics, and got her PhD degree on System Biology and Structural Biology Modeling from the Centre for Genomic Regulation in Barcelona. Marie has joined Terry Speed lab’s as a Postdoctoral research fellow about a year ago, in the Bioinformatics Division at the Walter and Eliza Hall Institute of Medical Research.</p> <p>Soroor is a Research Assistant in Davis laboratory, also in the Bioinformatics Division at the Walter and Eliza Hall Institute of Medical Research. She joined Davis laboratory in 2014 as a UROP student, and was promoted to a RA in 2016. She is currently doing a part-time masters degree in Statistics at the University of Melbourne.</p> <p>This will be a fantastic workshop and we can't wait to see you all there!</p> <p>Pizza and drinks will be provided!</p> <p>R-Ladies Melbourne</p> ","public",10800000,,,,,,,,,,,,,,1472776317000,"R-Ladies Melbourne",20378903,"open",-37.810001373291,144.960006713867,"R-Ladies-Melbourne","Members","Melbourne, Australia","en_US"
1509674863000,"244772792","R Markdown y cierre del año!",40,"upcoming",1511632800000,"2017-11-25","15:00","PT356H45M",1510347690000,-10800000,0,40,"https://www.meetup.com/rladies-buenos-aires/events/244772792/","<p>Se viene el último evento del año! Y tenemos el taller de R Markdown para cerrar con broche de oro!!!</p> <p>R Markdown permite escribir informes reproducibles y dinámicos con R.  Podés usarlo para incluir código R y resultados en presentaciones, documentos pdf, html, Word y mas. Este taller está pensado desde un nivel básico-intermedio, así que no te preocupes si recién empiezas a codear en R.  Para aprovecharlo traé tu laptop con R y RStudio instalados (para más info de cómo hacer esto:<a href=""https://drive.google.com/open?id=0B0X9hdtcUykTdy1ZaVM3S3hxQ0k""><a href=""https://drive.google.com/open?id=0B0X9hdtcUykTdy1ZaVM3S3hxQ0k"" class=""linkified"">https://drive.google.com/open?id=0B0X9hdtcUykTdy1ZaVM3S3hxQ0k</a></a>.</p> <p>Si creés que te vendría bien una intro a R o un repaso antes de venir, <a href=""https://github.com/rladies/meetup-presentations_buenosaires/blob/master/README.md"">hacé click aquí</a> para ir al repositorio donde encontrarás todos los materiales de nuestros encuentros anteriores.</p> <p>Después del taller tendremos un espacio reservado para hacer sociales, así nos conocemos entre todxs y podemos compartir ideas para el próximo año.</p> <p>Se vienen más detalles en unos días, por lo pronto revisá tu agenda y reservá tu lugar en el taller! Si confirmás asistencia pero luego no podés asistir, te pedimos por favor que dejes tu lugar disponible para otra persona ya que el espacio es limitado. Y si no podés asistir, el día de la reunión anunciaremos el acceso al streaming del evento. </p> <p>Cualquier consulta no dudes en escribirnos por meetup, slack o fb.</p> <p>Saludos!</p> ","public",10800000,,,,,,,,,,,,,,1483482058000,"R-Ladies Buenos Aires",21760043,"approval",-34.6100006103516,-58.3699989318848,"rladies-buenos-aires","R Ladies","Buenos Aires, Argentina","en_US"
1509071672000,"244563691","Working with web APIs in R",,"upcoming",1511823600000,"2017-11-27","18:00",,1510881952000,-18000000,0,27,"https://www.meetup.com/R-Ladies-RTP/events/244563691/","<p>This meetup will feature three talks on working with three different web APIs in R:</p> <p>- Twitter<br/>- Zillow<br/>- Google NGram</p> <p>As always, if you're interested in giving a 5-minute presentation featuring your work in R (ideally related to the workshop topic, but we're flexible), please email [masked] and/or [masked] with your brief pitch.</p> <p>Dinner and space will be provided by NC State Statistics Graduate Student Association!</p> <p>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> <p>Parking: Right outside of SAS Hall, free after 5pm.</p> ","public",7200000,,,,,,,,,,,,,,1471270976000,"R-Ladies RTP",20317472,"open",36,-78.9000015258789,"R-Ladies-RTP","Members","Durham, NC","en_US"
1508237770000,"244275904","R Lightening Talks by R-Ladies",1,"upcoming",1511893800000,"2017-11-28","18:30",,1508239654000,0,24,1,"https://www.meetup.com/rladies-london/events/244275904/","<p>Come along to learn tips and new skills in R, talk with other analysts and data scientists, and support our speakers.</p> <p>Please register on eventbrite here (not on meetup): <a href=""https://www.eventbrite.co.uk/e/r-lightening-talks-by-rladies-tickets-39005518556"" class=""linkified"">https://www.eventbrite.co.uk/e/r-lightening-talks-by-rladies-tickets-39005518556</a></p> <p>We have speakers lined up to show case their experience of web-scraping, excel conversions, package building, catastrophe modelling and more- all in easily digestible 5 minute talks!</p> <p>Come for talks starting at 6.30 and food, drinks and networking after.<br/>This event is being hosted by Deliveroo.</p> ","public",10800000,,,25500441,"Deliveroo Offices, Cannon Street Station",51.5101089477539,-0.0910929962992668,FALSE,"1 Cousin Lane, EC4R 3TE","London","gb","United Kingdom",,,1454258193000,"R-Ladies London",19474893,"approval",51.5200004577637,-0.100000001490116,"rladies-london","R-Ladies","London, United Kingdom","en_US"
1507362867000,"244001325","R-Ladies November Meetup",,"upcoming",1511980200000,"2017-11-29","18:30",,1507362867000,0,0,23,"https://www.meetup.com/R-Ladies-Dublin/events/244001325/","<p>More details to follow</p> ","public",,,,24361428,"Bank of Ireland",53.3498039245605,-6.26031017303467,FALSE,"Bank of Ireland, 1 Grand Canal Square, Grand Canal Quay, Dublin, Ireland","Dublin","ie","Ireland",,,1478992820000,"R-Ladies Dublin",21149852,"open",53.3300018310547,-6.25,"R-Ladies-Dublin","Members","Dublin, Ireland","en_US"
1505313771000,"243331084","Play in the snow, then clean up your mess! [working title :) ]",20,"upcoming",1512151200000,"2017-12-01","12:00",,1510598137000,-21600000,0,8,"https://www.meetup.com/rladies-nashville/events/243331084/","<p>Laurie Samuels will be demo-ing some data cleaning packages, and Svetlana Eden will be demo-ing her snowflakes package for some seasonal flair! More details to come!</p> ","public",10800000,"The Wond'ry is in the new engineering building on Highland Avenue. When you enter the building, go up the main spiral staircase; we'll be in the conference room at the back of the glassed-in space. There's a parking garage across the street.",,25237648,"The Wond'ry",36.1429710388184,-86.8057250976562,FALSE,"2414 Highland Avenue","Nashville","US","USA",,,1475090435000,"R-Ladies Nashville",20493986,"open",36.1699981689453,-86.7799987792969,"rladies-nashville","Members","Nashville, TN","en_US"
