created,duration,id,name,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,visibility,how_to_find_us,rsvp_limit,manual_attendance_count,rsvp_open_offset,rsvp_close_offset,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.city,venue.country,venue.localized_country_name,venue.zip,venue.state,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region
1507362867e3,7200000,244001325,R-Ladies November Meetup - My 1st Shiny App,upcoming,15119784e5,2017-11-29,18:00,1511288061e3,0,0,32,https://www.meetup.com/R-Ladies-Dublin/events/244001325/,<p>Plan of the evening</p> <p>18:00 - 18:30 Networking<br/>18:30 - 19:30 Shiny App mini-workshop (Jo Niec)<br/>19:30 - 20:00 Wrap up and questions</p> <p>Looking forward to seeing you!</p> ,public,,,,,,24361428,Bank of Ireland,53.34980392456055,-6.260310173034668,FALSE,"Bank of Ireland, 1 Grand Canal Square, Grand Canal Quay, Dublin, Ireland",Dublin,ie,Ireland,,,147899282e4,R-Ladies Dublin,21149852,open,53.33000183105469,-6.25,R-Ladies-Dublin,Members,"Dublin, Ireland",en_US
1501809982e3,,242269542,R for Data Science Workshop: Data Wrangling in the Tidyverse,upcoming,15120018e5,2017-11-29,18:30,1510766573e3,-21600000,0,25,https://www.meetup.com/rladies-austin/events/242269542/,<p>This is the third meetup in a series of six workshops to work through the book R for Data Science by Hadley Wickham and Garrett Grolemund. Please bring a laptop with R Studio and R loaded up. (Let us know if you have questions or need help getting that set up.)</p> <p>We'll be covering these chapters:<br/>+ Tibbles with tibble<br/>+ Data Import with readr<br/>+ Tidy data with tidyr<br/>+ Relational data with dplyr<br/>+ Strings with stringr<br/>+ Factors with forcats<br/>+ Dates and Times with lubridate</p> <p>Agenda<br/>+ 6:30 - 7pm : Dinner and Networking<br/>+ 7 - 8:30pm : Workshop</p> ,public,,,,,,25614075,Web.com,30.397998809814453,-97.67334747314453,FALSE,12234 North Interstate 35 Frontage Road,Austin,US,USA,,,1485879617e3,R-Ladies Austin,22180445,open,30.219999313354492,-97.75,rladies-austin,Members,"Austin, TX",en_US
1510258586e3,7200000,244973204,Building Interactive Plots with Shiny,upcoming,15120036e5,2017-11-29,19:00,1511043417e3,-21600000,0,20,https://www.meetup.com/RLadiesTC/events/244973204/,"<p>WHAT WE'RE DOING:</p> <p>This event will be a mix of socializing and trying out Shiny. Shiny is an R package that makes it easy to build interactive web apps straight from R. You can host standalone apps on a webpage or embed them in <a href=""http://rmarkdown.rstudio.com/"">R Markdown</a> documents or build <a href=""http://rstudio.github.io/shinydashboard/"">dashboards</a>.   <a href=""https://dgrtwo.shinyapps.io/cranview/"">Here's an example of a Shiny app</a> from David Robinson (the stats guy, not the basketball player).</p> <p>



WHAT TO BRING:</p> <p>Bring your laptop. Your laptop cord and a notebook might be a good idea, too. If you can, try to install R and the Shiny package before coming.</p> <p>



CONSUMING THINGS:</p> <p>Just down the hall is a mini coffee shop (open til 8PM). Feel free to bring snackies or beverages.</p> <p>



LOCATION:</p> <p>We have a classroom for this meetup! Meet us in room <b>226 of O'Shaughnessy Science</b>. This is the building connected to Owens science. You can park on Summit for free. The parking ramp is also convenient and decently priced ($1.00 or $1.50 per hour). The east side of the building has an elevator and the building is generally accessible.</p> <p>


VOLUNTEERS:</p> <p>Kim Ky and Becca will be creating some basic  examples to teach us how Shiny works.</p> ",public,Room 226 in OSS. OSS is on Cretin between Grand and Summit.,,,,,24291704,O'Shaughnessy Science Hall,44.944122314453125,-93.18971252441406,FALSE,"2115 Summit Ave, St Paul, MN ",55105,us,USA,"",MN,1427928185e3,R Ladies - Twin Cities,18529799,open,44.939998626708984,-93.220001220703125,RLadiesTC,Rmateys,"Minneapolis, MN",en_US
1511133722e3,7200000,245241105,Beginner Statistic workshop in R,upcoming,15119784e5,2017-11-29,19:00,1511708982e3,3600000,0,40,https://www.meetup.com/R-Ladies-Milan/events/245241105/,"<p>Beginner Statistic workshop in R</p> <p>Speaker: Navid Nobani</p> <p>In this workshop you will learn what is statistics, how it can be useful for data analysis and why as a data scientist you need to learn it. The topics are fundamental concepts, and are focused on:</p> <p>- What are variable types in data and how to deal with them</p> <p><br/>- How to measure variability and central tendency of data</p> <p>- How to choose graphical presentation types based on types of variables</p> <p><br/>- Linear &amp; regression modeling</p> <p><i>Language</i>: Examples &amp; exercises will be in R</p> <p><i>Prerequisites</i>: Having laptop is not mandatory</p> <p><i>Target Audience</i>: Beginners level</p> <p><i>Bio</i>: Navid is a data scientist at Prometeon Tyre Group. He has a background in Industrial Engineering and is working in the data science field since 2015. He uses R and Python in his daily activities to solve business problems in the marketing area.</p> <p><br/>If you are interested, don’t hesitate to join us &amp; spread the event to your friends too. We are looking forward to meet up with you!</p> ",public,Please go to the reception and give your document and get a badge. I'll be there at 18.50 and we go to the classroom together.,40,,,,25373969,EY,45.46611022949219,9.18288803100586,FALSE,"Via Meravigli, 12/14",Milano,it,Italy,,,1498774567e3,R-Ladies Milan,24752511,open,45.459999084472656,9.1899995803833,R-Ladies-Milan,Members,"Milano, Italy",en_US
1509468213e3,,244689350,Made in Warsaw,upcoming,15120612e5,2017-11-30,18:00,1510172548e3,3600000,0,128,https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/events/244689350/,"<p>W listopadzie posłuchamy o świetnych rozwiązaniach i pakietach R stworzonych nad Wisłą. </p> <p>Będzie i o Machine Learningu i o nowych rozszerzeniach do R – warto przyjść posłuchać.</p> <p><br/>Zaczniemy (18:00-18:30) od prezentacji dr<b> Michała Dramińskiego</b> (IPI PAN) <i>''MCFS-ID (Monte Carlo Feature Selection and Interdependence Discovery)'' </i>dotyczącej pakietu rmcfs (<a href=""https://cran.r-project.org/web/packages/rmcfs/index.html"" class=""linkified"">https://cran.r-project.org/web/packages/rmcfs/index.html</a>) wspierającego wybór istotnych cech dla problemów małe n duże p.Michał ma bogate doświadczenie i w pracy badawczej i w biznesie (Netezza, IBM, iQor), więcej o nim można znaleźć tutaj: <a href=""http://www.ipipan.eu/staff/m.draminski/index.html""><a href=""http://www.ipipan.eu/staff/m.draminski/index.html"" class=""linkified"">http://www.ipipan.eu/staff/m.draminski/index.html</a></a></p> <p><br/>Drugą prezentację (18:40-19:10) poprowadzi dr <b>Wit Jakuczun</b> (WLOG Solution), który opowie o <i>RSuite - wzbogaceniu R o funkcjonalności przydatne do dużych biznesowych wdrożeń</i>. Więcej o RSuite można przeczytać tutaj: <a href=""http://rsuite.io/""><a href=""http://rsuite.io/"" class=""linkified"">http://rsuite.io/</a></a> a o Wicie tutaj: <a href=""http://whyr.pl/blog/guests/2017/02/22/Wit-Jakuczun.html""><a href=""http://whyr.pl/blog/guests/2017/02/22/Wit-Jakuczun.html"" class=""linkified"">http://whyr.pl/blog/guests/2017/02/22/Wit-Jakuczun.html</a></a></p> <p><br/>Po prezentacjach gorąco pizza i czas na networking.</p> <p>Serdecznie zapraszamy!</p> ",public,,,,,,23763273,Sala 329 Wydział MINI PW,0,0,FALSE,Koszykowa 75,Warsaw,pl,Poland,,,141258063e4,Spotkania Entuzjastów R-Warsaw RUG Meetup & R-Ladies Warsaw,17428672,open,52.2599983215332,21.020000457763672,Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup,Entuzjaści R,"Warsaw, Poland",en_US
1507644441e3,5400000,244082002,R Beginners - Third Session,upcoming,15120846e5,2017-11-30,18:30,1508253296e3,-18000000,0,30,https://www.meetup.com/rladies-dc/events/244082002/,<p>This is the third workshop in our R Beginners series. We'll do a deeper dive into plotting and begin learning about R markdown. No prior experience with R is necessary - just please attempt installing R and Rstudio prior to attending :) Please don't forget to let me know your full name by COB the day before for the attendence list.<br/>Note: this date and location is still tentative!</p> ,public,,30,,,,25255740,All Above All (offices),38.906097412109375,-77.04071807861328,FALSE,"1201 Connecticut Ave., NW, Suite 300",Washington,us,USA,"",DC,1481140109e3,R-Ladies Washington D.C.,21510971,open,38.90999984741211,-77.0199966430664,rladies-dc,R-Ladies,"Washington, DC",en_US
1508187825e3,5400000,244261258,November Meetup - All about Software/Data Carpentries (and more TBD!),upcoming,15120954e5,2017-11-30,18:30,1510780627e3,-28800000,0,15,https://www.meetup.com/R-Ladies-PDX/events/244261258/,"<p>We will be in CLSB 1S018</p> <p>I will post a map to the classroom and there will be signs to direct folks there.</p> <p><a href=""http://www.ohsu.edu/xd/about/visiting/directions/clsb-life-sciences.cfm"" class=""linkified"">http://www.ohsu.edu/xd/about/visiting/directions/clsb-life-sciences.cfm</a></p> <p>Agenda TBD!</p> <p>Augustina will be in the final stages of Carpentries Software Certification and will do a short presentation on it. For more info see: <a href=""https://software-carpentry.org"" class=""linkified"">https://software-carpentry.org</a></p> <p>Do you want to present something? Let us know!</p> <p>If we do not have a second presentation, we will spend the second half of the meeting doing some fun hands-on R group learning. If you have ideas or datasets you'd like to suggest, please let us know!!</p> <p>We will also provide FOOD because no one likes to R on an empty stomach :)</p> ",public,,,0,,,25614534,OHSU Collaborative Life Sciences Building (CLSB),45.503196716308594,-122.67186737060547,FALSE,2730 Southwest Moody Avenue,Portland,US,USA,,,1500532418e3,R-Ladies PDX,25057217,open,45.5,-122.69000244140625,R-Ladies-PDX,R-Ladies,"Portland, OR",en_US
150936487e4,3600000,244650317,Being 'inferior' and an intro to Liverpool's female data science group!,upcoming,15120666e5,2017-11-30,18:30,1511867666e3,0,0,3,https://www.meetup.com/rladies-liverpool/events/244650317/,"<p>Location TBC</p> <p>On November 30th Angela Saini is visiting Liverpool to give a talk on her book 'Inferior - How Science got Women'.</p> <p>Tickets for her event are free and available here :</p> <p><a href=""https://www.eventbrite.co.uk/e/how-science-got-women-wrong-tickets-36997705132?aff=es2"" class=""linkified"">https://www.eventbrite.co.uk/e/how-science-got-women-wrong-tickets-36997705132?aff=es2</a></p> <p>We are going to meet after her event to discuss her book and the future of R-Ladies Liverpool; discovering what our members would like to get out of being part of this group and think about what we might like to cover in our second meeting.</p> <p>We are really looking forward to meeting you all and hope to make this group fun and accessible to all who identify as female coders!</p> <p>Come for the code, stay for the cats @rladieslivUK</p> ",public,For now: www.twitter.com/rladieslivUK,,,,,,,,,,,,,,,,1509307254e3,R-Ladies Liverpool,26430333,open,53.41999816894531,-2.990000009536743,rladies-liverpool,R-Ladies,"Liverpool, United Kingdom",en_US
1505313771e3,10800000,243331084,"Play in the snow, then clean up your mess!",upcoming,15121512e5,2017-12-01,12:00,1511888166e3,-21600000,0,18,https://www.meetup.com/rladies-nashville/events/243331084/,<p>Join us at the Wond'ry for a lunchtime meetup! Laurie Samuels will be demo-ing some packages for data cleaning in R; Svetlana Eden will be demo-ing a package that generates realistic snowflakes for some seasonal flair. See you there!</p> ,public,"The Wond'ry is in the new engineering building on Highland Avenue. When you enter the building, go up the main spiral staircase; we'll be in the conference room at the back of the glassed-in space. There's a parking garage across the street.",20,,,,25237648,The Wond'ry,36.14297103881836,-86.80572509765625,FALSE,2414 Highland Avenue,Nashville,US,USA,,,1475090435e3,R-Ladies Nashville,20493986,open,36.16999816894531,-86.779998779296875,rladies-nashville,Members,"Nashville, TN",en_US
1488227228e3,3600000,shrsrmywqbcb,LunchinatoRs,upcoming,15121512e5,2017-12-01,12:00,1505943196e3,-21600000,0,1,https://www.meetup.com/R-Ladies-Ames/events/245390719/,"<p>Hosted by the Department of Ecology, Evolution, and Organismal Biology. </p> <p>This is a weekly meeting hosted by R-Lady Audrey McCombs and Haldre Rogers in EEOB for folks interested in learning R and eating lunch together. Thanks to Audrey for extending this invitation to all of R-Ladies Ames! They meet from 12-1pm every Friday in Bessey Hall, room 334. </p> <p>Email Audrey at amccombs@iastate.edu for more information. If you're looking to present some cool R packages, how to wrestle with analysis issues, good coding practices, data management techniques, or anything else that you find interesting and helpful when working in R, let Audrey know! They'd love to host your presentation!</p> ",public,Room 334,,,,,25089815,Bessey Hall,42.02848815917969,-93.6446304321289,FALSE,2200 Osborn Drive,Ames,us,USA,50011,IA,1480118246e3,R-Ladies Ames,21280054,open,42.029998779296875,-93.63999938964844,R-Ladies-Ames,R-Ladies,"Ames, IA",en_US
