created,duration,id,name,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,visibility,how_to_find_us,rsvp_limit,rsvp_open_offset,manual_attendance_count,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.city,venue.country,venue.localized_country_name,venue.zip,venue.state,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region
1515089499e3,7200000,246490030,¡Primer Meetup del 2018!,upcoming,15160572e5,2018-01-15,18:00,1515105218e3,-18000000,0,24,https://www.meetup.com/R-Ladies_Quito/events/246490030/,"<p>• Lo que haremos<br/>¡ Feliz 2018 R-Ladies¡</p> <p>Para iniciar con pie derecho el 2018, este 15 de enero hemos preparado nuestro primer Meetup del año.</p> <p>Será genial contar con su presencia para organizarnos para los eventos que hemos programado a lo largo del 2018 que estamos seguras será grandioso. Pues este año queremos hacer código en buena compañía y aprendiendo de las mejores. Haremos una introducción de R-Ladies Quito para quienes se unirán por primera vez y además tendremos la participación de Gaby Sandoval, la súperRladie, organizadora de R-Ladies Santiago, quien nos contará la los proyectos de R-Ladies Latinoamérica.</p> <p>Les invitamos a participar en el foro para aportar ideas y los temas que les interesaría trabajar en este 2018.</p> <p>¿de qué te gustaría tratar en R-Ladies?</p> <p>¿qué te gustaría aprender en R?</p> <p>Nos vemos el 15 de enero a las 18:00 en IMPAQTO, República de El Salvador 406 y Moscú.</p> <p>Por favor, si te apuntas y luego ves que no vas a poder venir, ¡libera tu plaza! Pues el lugar no es muy grande y las plazas son limitadas. ¡Gracias!</p> <p>• Lo que hay que traer<br/>Muchas ganas de aprender R</p> <p>• Información importante<br/>La sala está disponible desde las 18:00 a 20:00</p> ",public,,,,,24936582,Impaqto,-0.18436600267887115,-78.48075866699219,FALSE,Av República de El Salvador 406 y Calle Moscú,Quito,EC,Ecuador,,,1500409959e3,R-Ladies Quito,25039212,open,-0.1899999976158142,-78.5,R-Ladies_Quito,R-Ladies,"Quito, Ecuador",en_US
1515549583e3,3600000,246662797,Segunda reunión R-Ladies / ggplot2,upcoming,15160608e5,2018-01-15,18:00,1515699381e3,-21600000,0,9,https://www.meetup.com/rladies-san-jose/events/246662797/,"<p>• Lo que haremos<br/>Graficar nuestros datos es una de las mejores maneras para explorarlos y para observar las relaciones que existen entre las variables.<br/>En R existen tres sistemas principales encargados de hacer gráficos, el sistema base plotting system, el paquete lattice y el paquete ggplot2.<br/>En este taller aprenderemos lo básico acerca del paquete ggplot2. Este sistema es el más efectivo para crear gráficos con calidad para la publicación.<br/>Este paquete se construyó basándose en la gramática de gráficos, es decir, en la idea de que cualquier gráfico puede expresarse a partir del mismo set de componentes: un set de datos, un sistema coordinado, y un set de geoms -- que corresponden a la representación visual de cada dato.<br/>La clave para entender ggplot2 es pensar en una figura como un conjunto de capas. Esta idea podría resultarle familiar si ha usado un programa de edición de imágenes como Photoshop, Illustrator, o Inkscape.</p> <p>• Lo que hay que traer<br/>Computadora con R Studio instalado.</p> <p>• Información importante<br/>La reunión será en la sala de capacitaciones del segundo piso de la biblioteca Demetrio Tinoco</p> ",public,"No será en la sala de Audiovisuales, estaremos ubicadas en la sala de capacitaciones del segundo piso de la biblioteca. ",,,,25544928,Universidad de Costa Rica,0,0,FALSE,"Biblioteca Demetrio Tinoco, sala de Audiovisuales #2",San José,cr,Costa Rica,,,1507531024e3,R-Ladies San Jose,26203679,open,9.930000305175781,-84.08000183105469,rladies-san-jose,Participantes,"San Jose, Costa Rica",en_US
1513314009e3,10800000,245934213,Kick off 2018,upcoming,15161238e5,2018-01-16,18:30,1515180125e3,3600000,0,24,https://www.meetup.com/rladies-berlin/events/245934213/,"<p>Let's get together to plan the first half of R-Ladies Berlin 2018.</p> <p>Do you have an idea for an event? A package that you would love to introduce to us? There is a thing you always wanted to get hands-on?</p> <p>Everyone is welcome to join and / or contribute with ideas and suggestions! You never have been to an R-Ladies event before but want to get to know us? Sure, pass by and ask all the questions you have!</p> <p>On behalf of the R-Ladies Berlin organization team<br/>Christin</p> ",public,,,,,24743276,Babbel,52.524627685546875,13.408201217651367,FALSE,Max-Beer-Strasse 2,Berlin,de,Germany,,,1477914332e3,R-Ladies Berlin,20977178,open,52.52000045776367,13.380000114440918,rladies-berlin,R-Ladies,"Berlin, Germany",en_US
1513802663e3,7200000,246072119,"Book Club: ""R for Data Science"" Chapters 1 - 8",upcoming,1516158e6,2018-01-16,19:00,151578672e4,-28800000,0,19,https://www.meetup.com/rladies-san-diego/events/246072119/,"<p>The first R-Ladies San Diego book club! Our first book is ""R for Data Science"" (<a href=""http://r4ds.had.co.nz/"" class=""linkified"">http://r4ds.had.co.nz/</a>). Please come having read Chapters 1 - 8 (Part I: Explore).</p> <p>Please bring your laptop and an electronic or hardcopy of ""R for Data Science"".</p> ",public,Directions on how to get to  SDSU's Coastal and Marine Institute: http://www.sci.sdsu.edu/cmi/location-and-directions/ Park anywhere in the parking lot.,,,,25667485,SDSU's Coastal and Marine Institute,32.73181915283203,-117.21068572998047,FALSE,4165 Spruance Rd,San Diego,us,USA,92101,ca,1497649358e3,R-Ladies San Diego,24506595,open,32.75,-117.16999816894531,rladies-san-diego,San Diegan R-Ladies,"San Diego, CA",en_US
151266009e4,5400000,245727945,How to become a real-life data scientist ,upcoming,15162876e5,2018-01-18,16:00,1516037435e3,3600000,0,31,https://www.meetup.com/rladies-copenhagen/events/245727945/,"<p>Hello R-Ladies community! We are ready to kick-start our local chapter of R-Ladies! Come along and feel free to bring a friend (or 2!) to find out what R-Ladies is all about and get to know fellow R-enthusiasts in Copenhagen. Big thanks to Prosa (<a href=""https://www.prosa.dk"" class=""linkified"">https://www.prosa.dk</a>) for sponsoring our kickoff!!!</p> <p>Updated Agenda:</p> <p>16:00-16:10-; Arrival</p> <p>16:10 - 16: 40-; Introduction of R-Ladies Global and Copenhagen chapter</p> <p>16:40 - 17:20 -; Lightning talks</p> <p>Kristina Gregorio, lead data scientist on the story of her life. “How to become a real-life data scientist “</p> <p>Diana Lucatero, soon-to-be PhD fellow, on how to predict the weather , ""How a 18th century reverend is helping you decide whether you should take your umbrella out! - On the use of the Bayes theorem in meteorology, probabilistic forecasting, verification and R! “</p> <p>17:20 - 17:30 - Planning for next meetup</p> ",public,,40,PT933H,,15625982,PROSA,55.67877960205078,12.562673568725586,FALSE,Vester Farimagsgade 37A,1606,dk,Denmark,,,1511195891e3,R-Ladies Copenhagen,26653718,open,55.68000030517578,12.569999694824219,rladies-copenhagen,R-Ladies,"Copenhagen, Denmark",en_US
1509545922e3,,244717019,Save the Date,upcoming,15163164e5,2018-01-18,18:00,1509545922e3,-18000000,0,10,https://www.meetup.com/rladies-charlottesville/events/244717019/,<p>More information to come!</p> ,public,,,,0,,,,,,,,,,,,1506014722e3,R-Ladies Charlottesville,26004745,open,38,-78.45999908447266,rladies-charlottesville,Members,"Charlottesville, VA",en_US
1511877091e3,7200000,245465157,R Ladies book club: Everybody Lies,upcoming,15164784e5,2018-01-20,15:00,1512940585e3,-18000000,0,51,https://www.meetup.com/rladies-newyork/events/245465157/,"<p>Thanks to everyone who took the recent poll regarding our next book club topic! There were equal votes for a technical book and a less technical non-fiction, but with a number of write-ins specifically for Everybody Lies, it was the winner for January. We'll read a more technical book for the April meeting.</p> <p>At this book club we'll be discussing Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are by Seth Stephens-Davidowitz. Please support our host and local bookstore by ordering the book with the link below (ignore the note that says ""Available for Back-Order):<br/><a href=""https://www.rizzolibookstore.com/everybody-lies-big-data-new-data-and-what-internet-can-tell-us-about-who-we-really-are-0"" class=""linkified"">https://www.rizzolibookstore.com/everybody-lies-big-data-new-data-and-what-internet-can-tell-us-about-who-we-really-are-0</a></p> <p>You are invited to join the R Ladies NYC book club group on Goodreads: <a href=""https://www.goodreads.com/group/show/225365-r-ladies-nyc"" class=""linkified"">https://www.goodreads.com/group/show/225365-r-ladies-nyc</a> . Use the Goodreads page or the rladiesbookclub channel on slack to suggest books for future meetings.</p> ",public,Head straight to the back of this lovely bookstore to find our group.,,,,25038699,Rizzoli Bookstore,40.7400016784668,-73.98999786376953,FALSE,1133 Broadway (Broadway & 26th) ,New York ,us,USA,10010,NY,147198606e4,R-Ladies New York,20346526,open,40.75,-73.98999786376953,rladies-newyork,Rladies,"New York, NY",en_US
1516066428025,9000000,246106335,purrr with Phoebe Wong,upcoming,15167484e5,2018-01-23,18:00,1516066428025,-18000000,0,21,https://www.meetup.com/rladies-boston/events/246106335/,,public_limited,,,,,,,,,,,,,,,,1474065871e3,R-Ladies Boston,20433637,approval,42.36000061035156,-71.06999969482422,rladies-boston,R-ladies,"Boston, MA",en_US
1514399582e3,5400000,246241644,Start 2018 with a bang! ,upcoming,15168384e5,2018-01-24,19:00,1515947222e3,-18000000,0,17,https://www.meetup.com/R-Ladies-Orlando/events/246241644/,"<p>• What we'll do<br/>Let's welcome 2018 together.</p> <p>Join us January 24,2018 to welcome the new year and 2 new community partners: R-Consortium and TEEPS.</p> <p>TEEPS has graciously offered to host our Meetups and it will be our regular home for the year. They are downtown, but have free parking. (www.teeps.org) We couldn't be more excited to finally have Amanda Cesario presenting at this Meetup. Amanda is a Senior Analyst at EA sports, she will share with us some of her educational background and career path, how she uses R at EA, and give us a glimpse of her everyday tasks and responsibilities. She is a great inspiration to launch this new year and keep us motivated to learn R.</p> <p>This is a casual meetup where we get the chance to simply socialize and network, so no need to bring your laptop. R-Consortium is kindly sponsoring this event, so we will have food and drinks. If you are new to R , this will be a great introductory meetup so please don't hesitate to attend.</p> <p>Agenda:<br/>7:00 - 7:30 Food and Drinks<br/>7:30 - 8:00 Amanda Cesario's presentation<br/>8:00 - 8:30 Q&amp;A, chat and socialize.</p> <p>As always , everyone is welcome, but must adhere to our code of conduct : <a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> <p>Looking forward to seeing you soon!</p> <p>• What to bring</p> <p>• Important to know<br/><a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> ",public,,30,,,25689819,Teeps,28.552860260009766,-81.3798599243164,FALSE,30 West Colonial Drive,Orlando,us,USA,32801,fl,1496674452e3,R-Ladies Orlando,24292488,open,28.540000915527344,-81.37000274658203,R-Ladies-Orlando,Members,"Orlando, FL",en_US
1515049331e3,8100000,246476814,R-Ladies Madrid: Testeo y depuración con R,upcoming,15168177e5,2018-01-24,19:15,1515081735e3,3600000,0,30,https://www.meetup.com/rladies-madrid/events/246476814/,"<p>• Lo que haremos<br/>¡Feliz año 2018! Esperamos que los RRRReyes os hayan traído muchas cosas, nosotras que somos muy RRRReinas nos vamos a juntar en un meetup 🔝</p> <p>Venimos este año con las pilas cargadas y no hay mejor forma para empezar el año que con Virginia Peón que nos va a hablar de Testeo y depuración con R: primera línea de defensa contra los bugs. Será en formato charla y no taller así que esta vez no necesitaréis vuestros ordenadores.</p> <p>Virginia Peón es licenciada en Matemáticas y diplomada en Estadística por la Universidad de Salamanca. Actualmente es Data Scientist en el Laboratorio de www.elconfidencial.com. Anteriormente ejerció diversas labores de análisis de datos y visualización de información en Tuenti, Vodafone y Seur.</p> <p>Esperamos veros por allí, ¡vamos a darlo todo!</p> <p>• Lo que hay que traer</p> <p>• Información importante</p> ",public,Parte de arriba de la cafetería,50,,,24344721,Campus Café (Google Campus Madrid),40.41215896606445,-3.71806001663208,FALSE,"Calle Moreno Nieto, 2 28005 Madrid, Spain",Madrid,es,Spain,,,1472848175e3,R-Ladies Madrid,20381623,open,40.41999816894531,-3.7100000381469727,rladies-madrid,R-Ladies,"Madrid, Spain",en_US
