created,id,name,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,visibility,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.city,venue.country,venue.localized_country_name,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region,photo_album.photo_sample,duration,rsvp_limit,venue.zip,venue.state,how_to_find_us,rsvp_close_offset,manual_attendance_count,rsvp_open_offset,venue.address_2
15127361e5,245754113,End of Year Social,past,15137946e5,2017-12-20,18:30,1513810265e3,0,0,17,https://www.meetup.com/rladies-london/events/245754113/,"<p>Come for a chat with other R-Ladies and/or tell us what you thought of this year's meetups and help shape the next year of R-Ladies London!</p> <p>Code of Conduct</p> <p>We expect all attendees to abide &amp; be governed by our community CoC: <a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> ",public,25602620,Touch Surgery,51.52848815917969,-0.09307800233364105,FALSE,"230 City Road, EC1V 2QY",London,gb,United Kingdom,1454258193e3,R-Ladies London,19474893,approval,51.52000045776367,-0.10000000149011612,rladies-london,R-Ladies,"London, United Kingdom",en_US,,,,,,,,,,
1514808524e3,246368407,Ocak Etkinliği: UI ve UX Temelleri  + R ile Shiny Uygulamalarına Giriş,past,15152346e5,2018-01-06,12:30,1515278669e3,7200000,0,32,https://www.meetup.com/rladies-istanbul/events/246368407/,"<p>Herkese Merhaba ve İyi yıllar,</p> <p>(Lütfen NOT'ları dikkatli okuyunuz)</p> <p>Bu ay Sümeyra Gören'in (<a href=""https://twitter.com/userella"" class=""linkified"">https://twitter.com/userella</a>) UI ve UX öğelerini, Berk Orbay'ın (<a href=""https://twitter.com/berkorbay"" class=""linkified"">https://twitter.com/berkorbay</a>) Shiny uygulamalarını anlatacağı harika bir etkinlik planladık.<br/>Aralık etkinliğine katılanlara öncelik verileceğini belirtmiştik, eğer bekleme listesinde kalırlarsa onların bize bildirmelerini rica ediyoruz.</p> <p>Katılımcıların laptop ve şarj aletleri ile gelmeleri, bilgisayarlarında R ve R Studio'nun kurulu olması, tidyverse ve shiny paketlerinin yüklü olması beklenmektedir.</p> <p>NOT: Kısıtlı bir eğitim alanımız olduğu için eğitimlere KADIN ve LGBTI katılımcılar haricindekilerin gelmek istedikleri takdirde mail atmalarını ve durumu sormalarını rica ediyoruz. Geleceklerini belirtip sonradan gelemeyecek olan arkadaşlar da RSVP seçeneklerini değiştirirlerse, katılmak isteyenlere yer açılmış olur. Listede ismi yazılı olmayanlar etkinlik alanına alınmayacaklardır. Etkinlik alanına belirtilen saatten önce gelmemeniz önemle rica olunur.</p> <p>R indirmek için: <a href=""https://cran.r-project.org"" class=""linkified"">https://cran.r-project.org</a> (<a href=""https://cran.r-project.org/"" class=""linkified"">https://cran.r-project.org/</a>)</p> <p>R Studio indirmek için: <a href=""https://www.rstudio.com/products/rstudio/download/"" class=""linkified"">https://www.rstudio.com/products/rstudio/download/</a></p> <p>tidyverse indirmek için: install.packages(""tidyverse""), library(tidyverse)<br/>shiny indirmek için: install.packages(""shiny""), library(shiny)</p> <p>Etkinliğe gelmeden bu anketi doldurmanızı rica ediyoruz: anket linki (<a href=""https://goo.gl/forms/FNmqh4u6ZlQ7gTAB3"" class=""linkified"">https://goo.gl/forms/FNmqh4u6ZlQ7gTAB3</a>)</p> ",public,24917901,StarcomMediavest Group,41.099639892578125,29.007938385009766,FALSE,"BÜYÜKDERE CAD. 193 PLAZA NO:193 / LEVENT , Istanbul",Istanbul,tr,Turkey,1473166132e3,R-Ladies Istanbul,20394109,open,41.0099983215332,28.959999084472656,rladies-istanbul,R-Ladies,"Istanbul, Turkey",en_US,,14400000,35,,,,,,,
1504635488e3,243118950,R Visualization Bonanza,past,15062868e5,2017-09-24,14:00,1506391643e3,-25200000,0,35,https://www.meetup.com/rladies-san-francisco/events/243118950/,"<p>Join us as we explore the visual world of R.  One of the most powerful ways to utilize the R language is through plotting and visualization of data. At this meeting we will have a hands on  tutorial on one of the most popular R package, <a href=""http://ggplot2.org/"">ggplot2</a>, led by Maureen Berg. Further we will provide time to discuss more advanced optimization of your ggplots, so come with your favorite tips and tricks to share.  In addition, Rebecca Barter will tell us about her recently released <a href=""https://github.com/rlbarter/superheat"">Superheat package </a>for creating beautiful Heatmaps. </p> <p>Bring your laptop with RStudio installed.</p> <p><br/>CODE OF CONDUCT</p> <p>Anyone who violates or has previously violated this community's Code of Conduct will be refused entry, expelled, and/or any other action deemed appropriate by the Organizer, regardless of event registration, meetup membership or other condition.</p> <p>We are emphatically queer and trans friendly.</p> <p>This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer. </p> ",public,25152559,Erin's Workspace,37.83260726928711,-122.27040100097656,FALSE,4300 West St.,Oakland,us,USA,1349108901e3,R-Ladies San Francisco,5190472,open,37.790000915527344,-122.4000015258789,rladies-san-francisco,R-Ladies,"San Francisco, CA",en_US,,10800000,,"",CA,,,,,
1509671425e3,244770763,Meetup Mixup Melbourne [$8.80],past,15138396e5,2017-12-21,18:00,1513852432e3,39600000,0,1,https://www.meetup.com/R-Ladies-Melbourne/events/244770763/,"<p>We invite our members to attend to Melbourne's combined end of year mixer: Meetup Mixup Melbourne! It's a fantastic opportunity to relax with a cold beverage and celebrate a year of meetups! You must register here: <a href=""https://melbourne.meetupmixup.com/"" class=""linkified"">https://melbourne.meetupmixup.com/</a></p> ",public,24226075,Loop Project Space & Bar,-37.812076568603516,144.97207641601562,FALSE,23 Meyers Place,Melbourne,au,Australia,1472776317e3,R-Ladies Melbourne,20378903,open,-37.810001373291016,144.9600067138672,R-Ladies-Melbourne,Members,"Melbourne, Australia",en_US,,,,,,,,,,
1511877091e3,245465157,R Ladies book club: Everybody Lies,past,15164784e5,2018-01-20,15:00,1516564826e3,-18000000,0,51,https://www.meetup.com/rladies-newyork/events/245465157/,"<p>Thanks to everyone who took the recent poll regarding our next book club topic! There were equal votes for a technical book and a less technical non-fiction, but with a number of write-ins specifically for Everybody Lies, it was the winner for January. We'll read a more technical book for the April meeting.</p> <p>At this book club we'll be discussing Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are by Seth Stephens-Davidowitz. Please support our host and local bookstore by ordering the book with the link below (ignore the note that says ""Available for Back-Order):<br/><a href=""https://www.rizzolibookstore.com/everybody-lies-big-data-new-data-and-what-internet-can-tell-us-about-who-we-really-are-0"" class=""linkified"">https://www.rizzolibookstore.com/everybody-lies-big-data-new-data-and-what-internet-can-tell-us-about-who-we-really-are-0</a></p> <p>You are invited to join the R Ladies NYC book club group on Goodreads: <a href=""https://www.goodreads.com/group/show/225365-r-ladies-nyc"" class=""linkified"">https://www.goodreads.com/group/show/225365-r-ladies-nyc</a> . Use the Goodreads page or the rladiesbookclub channel on slack to suggest books for future meetings.</p> ",public,25038699,Rizzoli Bookstore,40.7400016784668,-73.98999786376953,FALSE,1133 Broadway (Broadway & 26th) ,New York ,us,USA,147198606e4,R-Ladies New York,20346526,open,40.75,-73.98999786376953,rladies-newyork,Rladies,"New York, NY",en_US,,7200000,,10010,NY,Head straight to the back of this lovely bookstore to find our group.,,,,
1511864641e3,245462083,Pubquiz navideño R-Ladies + PyLadies + OSWeekends + HaskellMAD,past,15124986e5,2017-12-05,19:30,151251976e4,3600000,0,7,https://www.meetup.com/rladies-madrid/events/245462083/,"<p>¡Buenas, R-Ladies!</p> <p>Se acerca el último mes del año y con él, lo queramos o no, la Navidad, las compras, los viajes, las cenas de empresa y el poco tiempo libre... Así que hemos pensado en hacer del meetup de diciembre un evento más festivo.</p> <p>Como han hecho en comunidades R-Ladies de otras ciudades, os proponemos un pubquiz (<a href=""https://en.wikipedia.org/wiki/Pub_quiz"" class=""linkified"">https://en.wikipedia.org/wiki/Pub_quiz</a>), que es un concurso en un pub (sí, el nombre es muy descriptivo!).</p> <p>##### Comunidades participantes #####</p> <p>• R-Ladies (<a href=""https://www.meetup.com/es-ES/rladies-madrid/"" class=""linkified"">https://www.meetup.com/es-ES/rladies-madrid/</a>)</p> <p>• PyLadies (<a href=""https://www.meetup.com/es-ES/PyLadiesMadrid/"" class=""linkified"">https://www.meetup.com/es-ES/PyLadiesMadrid/</a>)</p> <p>• Open Source Weekends (<a href=""https://www.meetup.com/es-ES/Open-Source-Weekends/"" class=""linkified"">https://www.meetup.com/es-ES/Open-Source-Weekends/</a>)</p> <p>• Madrid Haskell Users Group (<a href=""https://www.meetup.com/es-ES/Haskell-MAD/"" class=""linkified"">https://www.meetup.com/es-ES/Haskell-MAD/</a>)</p> <p>##### Funcionamiento #####</p> <p>##### Equipos #####</p> <p>Se harán equipos (lo más igualados posible en cuestión de comunidades y tecnologías, que al menos haya un integrante de cada comunidad).</p> <p>Cada equipo tiene que tener un nombre (que eligen sus integrantes) y lo ponen en su papel de respuestas.</p> <p>##### Preguntas y respuestas #####</p> <p>Las preguntas se dirán por megafonía y se contestarán en un papel. Los organizadores de cada comunidad llevarán preparadas un mínimo de 10 preguntas. Cada pregunta tendrá una respuesta única. El tema de las preguntas es tecnología (lenguajes, etc.) o preguntas sobre la comunidad.</p> <p>##### Ganador #####</p> <p>El equipo con más respuestas correctas es el ganador.</p> <p>##### Normas #####</p> <p>No se puede consultar la respuesta por internet. Seamos legales, ¡vamos a pasarlo bien!</p> <p>##### Entradas #####</p> <p>Cada comunidad contará con 10 entradas, para que estén equilibrados entre los participantes los conocimientos técnicos.</p> <p>##### Asistencia #####</p> <p>Por favor, si no te apuntas y luego ves que no vas a poder venir, ¡libera tu plaza! Por muy poco tiempo que quede para el evento. En este meetup es especialmente importante para que los equipos puedan estar equilibrados. ¡Gracias!</p> <p>** Disclaimer: ¡sintiéndolo mucho no contamos con ayuda económica así que cada uno se tendrá que pagar las consumiciones que tome! ¡Gracias!</p> ",public,25636481,Bar Cuatro Gatos,40.41426086425781,-3.7064740657806396,FALSE,"Calle Salvador, 4",Madrid,es,Spain,1472848175e3,R-Ladies Madrid,20381623,open,40.41999816894531,-3.7100000381469727,rladies-madrid,R-Ladies,"Madrid, Spain",en_US,,10800000,9,,,,PT36H30M,,,
1512962747e3,245819613,Rise & Shiny - googlesheets Integration,past,15152508e5,2018-01-06,10:00,1515264996e3,-18000000,0,28,https://www.meetup.com/rladies-dc/events/245819613/,"<p><b>Let's get together and explore the googlesheets package!</b> <br/><a href=""https://github.com/jennybc/googlesheets""><a href=""https://github.com/jennybc/googlesheets"" class=""linkified"">https://github.com/jennybc/googlesheets</a></a></p> <p>The googlesheets package easily and naturally integrates into Shiny apps. There are some great examples on github here: <a href=""https://github.com/jennybc/googlesheets/tree/master/inst/shiny-examples""><a href=""https://github.com/jennybc/googlesheets/tree/master/inst/shiny-examples"" class=""linkified"">https://github.com/jennybc/googlesheets/tree/master/inst/shiny-examples</a></a><br/>We'll go over some of these examples, then open the workshop for tinkering and building apps of our own. </p> <p>Coffee and muffins will be provided!</p> ",public,24926931,WeWork Tysons,38.92342758178711,-77.2208023071289,FALSE,1775 Tysons Blvd,tysons,us,USA,1481140109e3,R-Ladies Washington D.C.,21510971,open,38.90999984741211,-77.0199966430664,rladies-dc,R-Ladies,"Washington, DC",en_US,,9000000,,"",VA,Look for the R-Ladies organizer in the building lobby. Leave a comment on the meetup page if you know you're running late!,,,,
1513656471e3,246030323,Book Club,past,1515456e6,2018-01-08,19:00,1515469182e3,-18000000,0,5,https://www.meetup.com/R-Ladies-RTP/events/246030323/,"<p>• What we'll do<br/>Join us as we continue to work through R for Data Science. We will spend the first 30 minutes discussing questions and interesting points about chapter 4 (<a href=""http://r4ds.had.co.nz/workflow-basics.html"" class=""linkified"">http://r4ds.had.co.nz/workflow-basics.html</a>). You can prepare for this discussion by completing chapter 4 on your own beforehand. After reviewing chapter 4, we will start working through chapter 5 (<a href=""http://r4ds.had.co.nz/transform.html"" class=""linkified"">http://r4ds.had.co.nz/transform.html</a>) in small groups for the remainder of the meet-up.</p> <p>Homework due *this* Book Club: Complete chapter 4.<br/>Homework due next Book Club: Complete chapter 5.</p> <p>• What to bring<br/>Please bring your own laptop and your notes/questions from R for Data Science (online version) Chapter 4: Workflow Basics.</p> <p>• Important to know<br/>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> ",public,6300922,Durham Public Library - South Regional Branch,35.9023323059082,-78.88829803466797,FALSE,4505 S. Alston Ave,Durham,us,USA,1471270976e3,R-Ladies RTP,20317472,open,36,-78.9000015258789,R-Ladies-RTP,Members,"Durham, NC",en_US,,7200000,8,27713,NC,Come find us in group study room 2 (#119).,,,,
1507760818e3,244126292,Machine Learning with R,past,15108732e5,2017-11-16,18:00,1511628429e3,-18000000,0,39,https://www.meetup.com/RLadies-Columbus/events/244126292/,"<p>UPDATES: Materials are now up on my git repo <a href=""https://github.com/ksasso/MLmodels_inR_GDG2017"" class=""linkified"">https://github.com/ksasso/MLmodels_inR_GDG2017</a></p> <p>git clone to make a copy OR download a zip of all the files by navigating to the green ""Clone or Download"" button in the right hand corner and selecting ""Download Zip""</p> <p>THERE WILL BE PIZZA thanks to the Columbus Collaboratory!</p> <p>At this meet up Katie Sasso will provide a crash course on implementing some of the most popular machine learning algorithms and techniques. Specific topics may include Decision Trees, ensemble methods (gradient boosting vs. bagging/bootstrapping), Random Forests, and Neural Networks. Attendees can expect a very high-level overview of techniques, a review of the circumstances under which they are and aren't appropriate for use, and a brief crash course on how to implement each using R!</p> <p>Please note:</p> <p>This meetup is not appropriate for very beginner level R users, we expect you to be familiar with fundamental R objects and functions.</p> <p>Parking: Park in any spot marked ""Reserved for the Columbus Collaboratory"". There should be more than enough available- all are free. If you find that these spots are filled - park anywhere in surrounding lots and Katie will give you a day pass for your dashboard.</p> <p>Call Katie if any issues finding it (440-452-6423).<br/>Directions and map also available here:<br/><a href=""http://columbuscollaboratory.com/Contact"" class=""linkified"">http://columbuscollaboratory.com/Contact</a></p> ",public,25330302,Columbus Collaboratory,39.98878479003906,-83.01953125,FALSE,1375 Perry Street,Columbus,US,USA,1475608147e3,R-Ladies Columbus,20600376,open,40.0099983215332,-83.0199966430664,RLadies-Columbus,Members,"Columbus, OH",en_US,,10800000,,,,,,,,
1503414537e3,242739422,Holiday Exodus Pub Night,past,15131196e5,2017-12-12,18:00,1513133906e3,-18000000,0,8,https://www.meetup.com/rladies-boston/events/242739422/,"<p>Nobody's in town! Let's do a no-stress thing! Input welcome for a no-prep, no-laptops [required] event :)</p> <p>Final location decided: Flat Top Johnny's - in that plaza (upper level) with Friendly Toast &amp; Bon Me &amp; Smoke House &amp; State Park</p> ",public_limited,20985332,Flat Top Johnny's,42.36558151245117,-71.09102630615234,FALSE,1 Kendall Sq Ste B2104,Cambridge,US,USA,1474065871e3,R-Ladies Boston,20433637,approval,42.36000061035156,-71.06999969482422,rladies-boston,R-ladies,"Boston, MA",en_US,,,,,,,,,,
