created,duration,id,name,rsvp_limit,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,visibility,comment_count,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.city,venue.country,venue.localized_country_name,venue.zip,venue.state,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region,photo_album.photo_sample,how_to_find_us,rsvp_close_offset,manual_attendance_count,rsvp_open_offset,venue.address_2,fee.accepts,fee.amount,fee.currency,fee.description,fee.label,fee.required
1517206171e3,5400000,247270603,R-Ladies Santa Barbara Chapter Kick-Off Meeting,50,upcoming,15234066e5,2018-04-10,17:30,1518279354e3,-25200000,0,10,https://www.meetup.com/rladies-santa-barbara/events/247270603/,"<p>Join us for the first ever meeting of the Santa Barbara chapter of R-Ladies!</p> <p>R-Ladies (<a href=""https://rladies.org/"" class=""linkified"">https://rladies.org/</a>) is a world-wide organization to promote gender diversity in the R community. At the kick-off meeting we'll introduce the group and organizers, welcome new members, and discuss future events &amp; activities. You'll also get to check out the cool space and new artwork at the National Center for Ecological Analysis and Synthesis (<a href=""https://www.nceas.ucsb.edu/"" class=""linkified"">https://www.nceas.ucsb.edu/</a>).</p> <p>We're looking forward to meeting many R-Ladies and allies in April!</p> <p>Follow us on twitter: @RLadiesSB</p> <p>CODE OF CONDUCT</p> <p>This group was created so those who identify as women (including trans women, genderqueer women, and non-binary people who identify as women or female in a way that is meaningful to them) have a comfortable place to learn. Anyone who violates or has previously violated this community's Code of Conduct will be refused entry, expelled, and/or any other action deemed appropriate by the Organizer, regardless of event registration, meetup membership or other condition.</p> ",public,0,17105012,National Center for Ecological Analysis and Synthesis (NCEAS),34.4192008972168,-119.69937133789062,FALSE,735 State St # 300,Santa Barbara,us,USA,93101,CA,1516990384e3,R-Ladies Santa Barbara,27283931,open,34.41999816894531,-119.70999908447266,rladies-santa-barbara,R-Ladies,"Santa Barbara, CA",en_US,,,,,,,,,,,,
1517352046e3,10800000,247326917,Beyond Bean Counting: Measuring Open Source Engagement Beyond Commits and Stars,,upcoming,15183864e5,2018-02-11,14:00,151735642e4,-28800000,0,23,https://www.meetup.com/rladies-san-francisco/events/247326917/,"<p>Come join us for the first R-Ladies SF Meetup of 2018! We will hear from special guest, Augustina Ragwitz from R-Ladies Portland, about her work evaluating open source community engagement and walk us through the code she wrote so you can analyze data of your own.</p> <p>Augustina's Talk Abstract:<br/>I'll be talking about my work in data science/developer advocacy to challenge the traditional paradigm of ""human-system"" metrics the tech industry is intent on shoving down our throats. I'll be asking the question, ""How can we better understand open source community engagement beyond counts of commits, stars, or people?"" and sharing some of my ideas on how to move beyond bean counting and into data-driven conversations.</p> <p>Following Augustina's talk, co-organizer Erin LeDell will give a short preview of the meetupr R package which can be used to retrieve data about meetups. <a href=""https://github.com/rladies/meetupr"" class=""linkified"">https://github.com/rladies/meetupr</a></p> <p>We will also discuss what we would like to accomplish this year. Come with ideas on what you want topics you would learn about or projects your would like to share.</p> <p>WHAT TO BRING<br/>Laptop is highly encouraged.</p> <p>CODE OF CONDUCT<br/>Anyone who violates or has previously violated this community's Code of Conduct will be refused entry, expelled, and/or any other action deemed appropriate by the Organizer, regardless of event registration, meetup membership or other condition.<br/><a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> <p>We are emphatically queer and trans friendly.</p> ",public,,25152559,Erin's Workspace,37.83260726928711,-122.27040100097656,FALSE,4300 West St.,Oakland,us,USA,"",CA,1349108901e3,R-Ladies San Francisco,5190472,open,37.790000915527344,-122.4000015258789,rladies-san-francisco,R-Ladies,"San Francisco, CA",en_US,,5 min walk from MacArthur BART and plenty of street parking,,,,,,,,,,
1517185024e3,9000000,247262918,Visualising Geospatial Data in R with Interactive Maps  ,,upcoming,1518417e6,2018-02-12,17:30,1517205255e3,39600000,0,102,https://www.meetup.com/R-Ladies-Melbourne/events/247262918/,"<p>Hi Everyone,</p> <p>Hope you all have a great holiday and are ready for another year of fantastic seminars and workshops! For our first event of 2018 Belinda Maher will be joining us to tell us about her work with geospatial data and R.</p> <p>Belinda started her journey in transport data at KiwiRail, where she worked on a $2 billion (NZD) upgrade of Auckland's suburban train network. After returning home to Melbourne, she took up a role at Public Transport Victoria in Operational Performance Analysis.<br/>At PTV Belinda used R to plot the location of stations, stops and timing points and the paths of public transport routes. She created dashboards containing spatial visualisations of Victorian public transport operational performance data.<br/>Belinda now works at Swinburne University, using in R and Tableau on data which is (unfortunately) not about trains. Belinda holds a Bachelor of Science from The University of Melbourne and a Graduate Diploma in Statistics and Operations Research from RMIT.</p> <p>Talk Title:<br/>Public Transport Maps and Geospatial Data in R using PTV GTFS data</p> <p>Abstract:<br/>The General Transit Feed Specification (GTFS) is an open standard for publishing public transport schedules and associated geographic location and transport service path information.Public Transport Victoria (PTV) first published a GTFS version of their timetable data in 2015, which enabled Google to begin showing ‘public transit’ options for directions in Victoria within Google maps. This data is publicly available on the PTV website. This talk will cover working with GTFS spatial data to plot maps in R, using the leaflet and sp packages. Belinda will explain how to create zoomable maps of transport paths and stations, and mention some of the challenges of working with this dataset.</p> <p>This meetup is hosted by our wonderful sponsor Zendesk, who will be provided pizza and drinks for us for the evening!</p> <p>We can't wait to see you all there!</p> <p>R-Ladies Melbourne</p> ",public,,24579586,Zendesk Basement,-37.8170280456543,144.96153259277344,FALSE,"395 Collins St, Melbourne",Melbourne,au,Australia,,,1472776317e3,R-Ladies Melbourne,20378903,open,-37.810001373291016,144.9600067138672,R-Ladies-Melbourne,Members,"Melbourne, Australia",en_US,,The Zendesk basement can be accessed from Queen Street,,,,,,,,,,
1515378397e3,5400000,246597297,Kick-Off Meet and Greet!,,upcoming,1518489e6,2018-02-12,18:30,151813387e4,-28800000,0,46,https://www.meetup.com/rladies-seattle/events/246597297/,"<p>Welcome to our kick-off meeting of the Seattle R-Ladies chapter. Our first meetup will have a brief intro to R-Ladies Global and the mission of the organization, and then we'll open it up for questions, brainstorming topics for future sessions, and have time for chatting, networking, and getting to know each other. We'll have some snacks to share and some friendly faces!</p> <p>If you won't be able to make the first meetup but want to let us know who you are and what you're interested in, drop us a line and we can send you our new-chapter survey.</p> <p>• Important things to know:<br/>R-Ladies code of conduct: <a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> ",public,,25684543,eScience Institute,47.65336608886719,-122.31178283691406,FALSE,"WRF Data Science Studio, UW Physics/Astronomy Tower, 6th Floor",Seattle,us,USA,98195,wa,1510161305e3,R-Ladies Seattle,26537030,open,47.61000061035156,-122.33000183105469,rladies-seattle,R-Ladies,"Seattle, WA",en_US,,,,,,University of Washington,,,,,,
151741968e4,4500000,247352368,A Galentine's Day Special Event: Plotting your data with ggplot2,30,upcoming,15185637e5,2018-02-13,17:15,1517420074e3,-21600000,0,17,https://www.meetup.com/R-Ladies-Ames/events/247352368/,"<p>• What we'll do<br/>Dr. Heike Hofmann* will lead a workshop on how to plot your data using the ggplot2 package (part of the tidyverse, and authored by ISU Stat PhD Alum Hadley Wickham). Light galentine's day themed refreshments will be provided. * - Dr. Hofmann was Hadley's PhD advisor, so she's pretty much the Leslie Knope to Hadley's April Ludgate</p> <p>• What to bring<br/>Your computer (the lab also has computers)</p> <p>• Important to know<br/>This Galentine's Day, make Leslie Knope proud by celebrating this should-be holiday with your fellow R-Ladies!</p> ",public,,25143334,Snedecor Hall Room 3121,42.02888488769531,-93.64971923828125,FALSE,2438 Osborn Dr,Ames,us,USA,"",IA,1480118246e3,R-Ladies Ames,21280054,open,42.029998779296875,-93.63999938964844,R-Ladies-Ames,R-Ladies,"Ames, IA",en_US,,"Take the stairs or elevator up to the 3rd floor, and the room is on your left.",,,,,,,,,,
1517659835e3,7200000,247449551,R Ladies Belgrade #2: Manipulacija podacima i vizualizacija ,,upcoming,15185412e5,2018-02-13,18:00,1517659997e3,3600000,0,44,https://www.meetup.com/R-Ladies-Belgrade/events/247449551/,"<p>Drugi R ladies meetup u Beogradu!</p> <p>Dodjite sa svojim laptopom sa R (<a href=""https://cran.r-project.org/"" class=""linkified"">https://cran.r-project.org/</a>) i RStudio (<a href=""https://www.rstudio.com/products/rstudio/download/#download"" class=""linkified"">https://www.rstudio.com/products/rstudio/download/#download</a>) instaliranim.</p> <p>Prvih sat vremena očekujte radionicu tokom koje će Tatjana (<a href=""https://tanjakec.github.io"" class=""linkified"">https://tanjakec.github.io</a>) pričati o eksplanatornoj analizi podataka. Upoznaćete se sa alatkama za manipulaciju i vizualizaciju podataka kao što su dplyr i ggplot2.</p> <p>Ako neka od vas želi da održi kratku prezentaciju ili takozvani ""lightning talk"" od 5-10min o interesantnom projektu za koji ste koristile R ili bi jednostavno želela da predstavi svoj R kod ili R paket, javite nam se da bismo vas uključile u program! Konačni program ćemo objaviti nekoliko dana pred meetup.</p> <p>-------------------------</p> <p>Ne morate biti korisnica R-a da biste se pridružile meetup-u sve dok ste zainteresovane da ga naučite i saznate više o nauci o podacima (eng. data science) i R-u.</p> <p>Pridružite nam se i budite otvorene za učenje ili deljenje svojih iskustava. Vidimo se uskoro :)</p> ",public,,25547484,Startit Centar,44.80695724487305,20.455503463745117,FALSE," Savska 5, Beograd 11000",Belgrade,rs,Serbia,,,1505491915e3,R-Ladies Belgrade,25935651,open,44.83000183105469,20.5,R-Ladies-Belgrade,Members,"Belgrade, Serbia",en_US,,,,,,,,,,,,
1517943809e3,7200000,247550735,Make your own R package from scratch with Stephanie Kirmer,,upcoming,15185664e5,2018-02-13,18:00,1517944801e3,-21600000,0,49,https://www.meetup.com/rladies-chicago/events/247550735/,"<p>• What we'll do<br/>In this hands-on tutorial, Stephanie Kirmer from Uptake will introduce you to building your very own R package. If you've used R, you've almost certainly used a package - but did you know that building your own package is actually not hard at all? If you have written bits of useful code you want to keep and return to, you might want a package.</p> <p>After this session, you'll have the skills to start a package and document your functions, and resources to use for next steps like vignettes and unit testing. If you like, bring an R function you have written, or follow along using provided scripts.</p> <p>**No experience with any package building (or even function writing) is necessary to follow along with this tutorial.**</p> <p>Stephanie is a data scientist at Uptake, and along with the tutorial, a recruiter from Uptake will be on hand to talk to anyone thinking about applying to work there, so bring your resume too!</p> <p>Schedule:<br/>6:00-6:15--Food and introductions<br/>6:15-6:30--Recap of rstudio::conf by Amanda &amp; Angela<br/>6:30-7:15--Workshop with Stephanie<br/>7:15-8:00--Questions, recruiting pitch from Uptake, networking</p> <p>• Sponsor information<br/>WeWork provides small businesses, startups, freelancers, large enterprises, and everyone in between with the workspace, community, and services they need to make a life, not just a living. With weekly events, personalized support, month-to-month flexibility, and access to over 50,000 like-minded creators around the world, WeWork is the perfect place to grow your business. Book your tour at <a href=""https://www.wework.com/l/chicago--IL?utm_campaign=CHI-2018-3-8-18-RLadies&amp;utm_medium=page&amp;utm_source=wework"" class=""linkified"">https://www.wework.com/l/chicago--IL?utm_campaign=CHI-2018-3-8-18-RLadies&amp;utm_medium=page&amp;utm_source=wework</a>.</p> <p>• What to bring<br/>Photo ID, computer, resume (if interested in working at Uptake)</p> <p>• Important to know<br/>Please make sure you submit your full name when you RSVP.</p> ",public,,24406406,WeWork Grant Park,41.877315521240234,-87.62462615966797,FALSE,332 S Michigan Ave,Chicago,us,USA,"",IL,1499286643e3,R-Ladies Chicago,24848073,open,41.880001068115234,-87.62000274658203,rladies-chicago,R-Ladies,"Chicago, IL",en_US,,Note that we're in a different location this time - please contact the organizers if you have trouble finding us!,,,,,,,,,,
1516565995e3,9000000,247031305,"Book Club: ""R for Data Science"" Chapters 9 - 16",,upcoming,15185754e5,2018-02-13,18:30,1518106681e3,-28800000,0,11,https://www.meetup.com/rladies-san-diego/events/247031305/,"<p>In this meeting we will continue our book club on ""R for Data Science"" (<a href=""http://r4ds.had.co.nz/"" class=""linkified"">http://r4ds.had.co.nz/</a>). Please come having read Chapters 9 - 16 (Part II: Wrangle).</p> <p>If you are interested in leading the discussion for a particular chapter please let Page or Megan know. This will entail putting together a few slides (Really! No more than 3!) and having gone over the exercises in case someone has questions. Currently available chapters are:</p> <p>- 9 Introduction<br/>- 10 Tibbles<br/>- 11 Data import<br/>- 12 Tidy data<br/>- 13 Relational data<br/>- 14 Strings - TAKEN<br/>- 15 Factors<br/>- 16 Dates and times</p> <p>Slides for chapters from past meetings can be found on our GitHub page (<a href=""https://github.com/rladies-san-diego/book-club_r4ds"" class=""linkified"">https://github.com/rladies-san-diego/book-club_r4ds</a>).</p> <p>Please bring your laptop and an electronic or hardcopy of ""R for Data Science"".</p> ",public,,25702271,Elevate,32.929237365722656,-117.23834991455078,FALSE,11710 El Camino Real,San Diego,us,USA,92130,ca,1497649358e3,R-Ladies San Diego,24506595,open,32.75,-117.16999816894531,rladies-san-diego,San Diegan R-Ladies,"San Diego, CA",en_US,,Parking is available in the garage underneath the building.,,,,,,,,,,
1518159225e3,7200000,247642103,Caucasus Barometer 2017,,upcoming,1518534e6,2018-02-13,19:00,1518159225e3,14400000,0,8,https://www.meetup.com/rladies-tbilisi/events/247642103/,"<p>დავით სიჭინავა ისაუბრებს, თუ როგორ უნდა ვიმუშაოთ R გარემოში მასობრივი გამოკითხვის მონაცემებზე. ლექციის მსვლელობისას შევისწავლით ისეთი ბიბლიოთეკების გამოყენებას, როგორიცაა survey, readstata13, haven და foreign. 2017 წლის ""კავკასიის ბარომეტრის"" მონაცემების მაგალითზე, დათო გვაჩვენებს, თუ როგორ უნდა ჩავატაროთ გამოკითხვის მონაცემების მარტივი ანალიზი და ვიზუალიზაცია.</p> ",public,,24812484,ჯეოლაბი GeoLab,41.71767044067383,44.78483200073242,FALSE,"8 Merab Aleksidze St, Tbilisi 0160",Tbilisi,ge,Georgia,,,1480449123e3,R-Ladies Tbilisi,21313292,approval,41.720001220703125,44.790000915527344,rladies-tbilisi,Member,"Tbilisi, Georgia",en_US,,,,,,,,,,,,
151687566e4,5400000,247149751,Graph Analytics (hands-on) + Neo4j gRaphs (intro),70,upcoming,15186312e5,2018-02-14,19:00,151687594e4,3600000,0,69,https://www.meetup.com/rladies-madrid/events/247149751/,"<p>• Lo que haremos<br/>A joint meetup with R-Ladies Madrid <a href=""https://www.meetup.com/rladies-madrid"" class=""linkified"">https://www.meetup.com/rladies-madrid</a>, Big Data Madrid <a href=""https://www.meetup.com/Big-Data-Madrid/"" class=""linkified"">https://www.meetup.com/Big-Data-Madrid/</a>, Neo4j España <a href=""https://www.meetup.com/graphdb-spain/"" class=""linkified"">https://www.meetup.com/graphdb-spain/</a> and Big Data Spain <a href=""https://www.meetup.com/BigDataSpain/"" class=""linkified"">https://www.meetup.com/BigDataSpain/</a></p> <p>Help us prevent the duplication of the lists of attendees of the co-hosting meetup groups: if you are a member of more than one, please confirm your attendance to ONLY one of them. Attendees showing up 15 minutes past the starting time might not be granted the access to the venue. The conducting language of both sessions will be English.</p> <p>## Neo4j gRaphs - 25 minutes</p> <p>* Abstract: Working with new databases may be somehow scaring, but don't be afraid! Are you used to working with R? Then the package RNeo4j and some R graph packages are here to help you. Treat Neo4j results like R objects, work with them in your environment and send your results. An introduction to Neo4j with a Neo4j+R workflow.</p> <p>* Bio: Bea Hernández @Chucheria is a Data Scientist at DatMean where she finds patterns and relations between online consumers. She also co-organizes R-Ladies Madrid and is a member of the NASADatanauts.</p> <p>## Graph Analytics - 50 minutes</p> <p>* Format of the session:</p> <p>Combination of slides + hands-on example using interactive guide on Neo4j (local or sandbox)</p> <p>* Abstract: In summer 2017, Neo4j released its first set of graph algorithms designed to help organizations understand their graphs at a global level. This session will discuss the algorithms for community detection, centrality and pathfinding. These complement long-standing graph navigation and traversal functions of which Neo4j is known. This growing graph analytics library is sure to become a foundation for your data science and development work.</p> <p>In the meetup, we will explain the concepts and we'll use a public dataset to run a hands-on step by step example to demonstrate them.</p> <p>* Bios:</p> <p>Mark Needham is a graph advocate and developer relations engineer for Neo Technology, the company behind the Neo4j graph database.</p> <p>As a developer relations engineer, Mark helps users embrace graph data and Neo4j, building sophisticated solutions to challenging data problems. Mark previously worked in engineering on the clustering team, helping to build the Causal Clustering feature released in Neo4j 3.1. Mark writes about his experiences of being a graphista on a popular blog at markhneedham.com. He tweets at @markhneedham.</p> <p>Jesús Barrasa is an engineer based in London. He's currently heading Neo4j's, Global Telecom Practice where his mission is to get all Telcos in the world getting value from graphs with Neo4j.</p> <p>He combines over 15 years of professional experience in consulting in the Information Management space. Prior to joining Neo Technology, Jesús worked at Ontology (now EXFO) for seven years, where he got the first-hand experience with large graph DB deployments in many successful projects for major Telecommunications companies all over the world. Jesús holds a PhD in Computer Science from the Technical University of Madrid, where he carried out his research on graph data modelling and Semantic Technologies. He blogs at <a href=""https://jesusbarrasa.wordpress.com/"" class=""linkified"">https://jesusbarrasa.wordpress.com/</a> and tweets occasionally at @BarrasaDV</p> <p>## Networking - 30 to n+30 minutes at will</p> <p>Sponsored by Neo4j, we'll meet at a nearby bar (to be announced at the end of the last session) and reflect upon what we learnt and how it feels to be a graphista :)</p> ",public,,24093359,Auditorio Google Campus Madrid,40.412940979003906,-3.7179219722747803,FALSE,"Calle de Manzanares, 1",Madrid,es,Spain,,,1472848175e3,R-Ladies Madrid,20381623,open,40.41999816894531,-3.7100000381469727,rladies-madrid,R-Ladies,"Madrid, Spain",en_US,,,,,,,,,,,,
