created,duration,id,name,status,time,local_date,local_time,updated,utc_offset,waitlist_count,yes_rsvp_count,link,description,visibility,how_to_find_us,rsvp_limit,rsvp_close_offset,rsvp_open_offset,venue.id,venue.name,venue.lat,venue.lon,venue.repinned,venue.address_1,venue.address_2,venue.city,venue.country,venue.localized_country_name,venue.zip,venue.state,group.created,group.name,group.id,group.join_mode,group.lat,group.lon,group.urlname,group.who,group.localized_location,group.region,fee.accepts,fee.amount,fee.currency,fee.description,fee.label,fee.required
1515378397e3,5400000,246597297,Kick-Off Meet and Greet!,upcoming,1518489e6,2018-02-12,18:30,151813387e4,-28800000,0,46,https://www.meetup.com/rladies-seattle/events/246597297/,"<p>Welcome to our kick-off meeting of the Seattle R-Ladies chapter. Our first meetup will have a brief intro to R-Ladies Global and the mission of the organization, and then we'll open it up for questions, brainstorming topics for future sessions, and have time for chatting, networking, and getting to know each other. We'll have some snacks to share and some friendly faces!</p> <p>If you won't be able to make the first meetup but want to let us know who you are and what you're interested in, drop us a line and we can send you our new-chapter survey.</p> <p>• Important things to know:<br/>R-Ladies code of conduct: <a href=""https://github.com/rladies/starter-kit/wiki/Code-of-Conduct"" class=""linkified"">https://github.com/rladies/starter-kit/wiki/Code-of-Conduct</a></p> ",public,,,,,25684543,eScience Institute,47.65336608886719,-122.31178283691406,FALSE,"WRF Data Science Studio, UW Physics/Astronomy Tower, 6th Floor",University of Washington,Seattle,us,USA,98195,wa,1510161305e3,R-Ladies Seattle,26537030,open,47.61000061035156,-122.33000183105469,rladies-seattle,R-Ladies,"Seattle, WA",en_US,,,,,,
1516565995e3,9000000,247031305,"Book Club: ""R for Data Science"" Chapters 9 - 16",upcoming,15185754e5,2018-02-13,18:30,1518106681e3,-28800000,0,11,https://www.meetup.com/rladies-san-diego/events/247031305/,"<p>In this meeting we will continue our book club on ""R for Data Science"" (<a href=""http://r4ds.had.co.nz/"" class=""linkified"">http://r4ds.had.co.nz/</a>). Please come having read Chapters 9 - 16 (Part II: Wrangle).</p> <p>If you are interested in leading the discussion for a particular chapter please let Page or Megan know. This will entail putting together a few slides (Really! No more than 3!) and having gone over the exercises in case someone has questions. Currently available chapters are:</p> <p>- 9 Introduction<br/>- 10 Tibbles<br/>- 11 Data import<br/>- 12 Tidy data<br/>- 13 Relational data<br/>- 14 Strings - TAKEN<br/>- 15 Factors<br/>- 16 Dates and times</p> <p>Slides for chapters from past meetings can be found on our GitHub page (<a href=""https://github.com/rladies-san-diego/book-club_r4ds"" class=""linkified"">https://github.com/rladies-san-diego/book-club_r4ds</a>).</p> <p>Please bring your laptop and an electronic or hardcopy of ""R for Data Science"".</p> ",public,Parking is available in the garage underneath the building.,,,,25702271,Elevate,32.929237365722656,-117.23834991455078,FALSE,11710 El Camino Real,,San Diego,us,USA,92130,ca,1497649358e3,R-Ladies San Diego,24506595,open,32.75,-117.16999816894531,rladies-san-diego,San Diegan R-Ladies,"San Diego, CA",en_US,,,,,,
1518159225e3,7200000,247642103,Caucasus Barometer 2017,upcoming,1518534e6,2018-02-13,19:00,1518159225e3,14400000,0,8,https://www.meetup.com/rladies-tbilisi/events/247642103/,"<p>დავით სიჭინავა ისაუბრებს, თუ როგორ უნდა ვიმუშაოთ R გარემოში მასობრივი გამოკითხვის მონაცემებზე. ლექციის მსვლელობისას შევისწავლით ისეთი ბიბლიოთეკების გამოყენებას, როგორიცაა survey, readstata13, haven და foreign. 2017 წლის ""კავკასიის ბარომეტრის"" მონაცემების მაგალითზე, დათო გვაჩვენებს, თუ როგორ უნდა ჩავატაროთ გამოკითხვის მონაცემების მარტივი ანალიზი და ვიზუალიზაცია.</p> ",public,,,,,24812484,ჯეოლაბი GeoLab,41.71767044067383,44.78483200073242,FALSE,"8 Merab Aleksidze St, Tbilisi 0160",,Tbilisi,ge,Georgia,,,1480449123e3,R-Ladies Tbilisi,21313292,approval,41.720001220703125,44.790000915527344,rladies-tbilisi,Member,"Tbilisi, Georgia",en_US,,,,,,
151687566e4,5400000,247149751,Graph Analytics (hands-on) + Neo4j gRaphs (intro),upcoming,15186312e5,2018-02-14,19:00,151687594e4,3600000,0,69,https://www.meetup.com/rladies-madrid/events/247149751/,"<p>• Lo que haremos<br/>A joint meetup with R-Ladies Madrid <a href=""https://www.meetup.com/rladies-madrid"" class=""linkified"">https://www.meetup.com/rladies-madrid</a>, Big Data Madrid <a href=""https://www.meetup.com/Big-Data-Madrid/"" class=""linkified"">https://www.meetup.com/Big-Data-Madrid/</a>, Neo4j España <a href=""https://www.meetup.com/graphdb-spain/"" class=""linkified"">https://www.meetup.com/graphdb-spain/</a> and Big Data Spain <a href=""https://www.meetup.com/BigDataSpain/"" class=""linkified"">https://www.meetup.com/BigDataSpain/</a></p> <p>Help us prevent the duplication of the lists of attendees of the co-hosting meetup groups: if you are a member of more than one, please confirm your attendance to ONLY one of them. Attendees showing up 15 minutes past the starting time might not be granted the access to the venue. The conducting language of both sessions will be English.</p> <p>## Neo4j gRaphs - 25 minutes</p> <p>* Abstract: Working with new databases may be somehow scaring, but don't be afraid! Are you used to working with R? Then the package RNeo4j and some R graph packages are here to help you. Treat Neo4j results like R objects, work with them in your environment and send your results. An introduction to Neo4j with a Neo4j+R workflow.</p> <p>* Bio: Bea Hernández @Chucheria is a Data Scientist at DatMean where she finds patterns and relations between online consumers. She also co-organizes R-Ladies Madrid and is a member of the NASADatanauts.</p> <p>## Graph Analytics - 50 minutes</p> <p>* Format of the session:</p> <p>Combination of slides + hands-on example using interactive guide on Neo4j (local or sandbox)</p> <p>* Abstract: In summer 2017, Neo4j released its first set of graph algorithms designed to help organizations understand their graphs at a global level. This session will discuss the algorithms for community detection, centrality and pathfinding. These complement long-standing graph navigation and traversal functions of which Neo4j is known. This growing graph analytics library is sure to become a foundation for your data science and development work.</p> <p>In the meetup, we will explain the concepts and we'll use a public dataset to run a hands-on step by step example to demonstrate them.</p> <p>* Bios:</p> <p>Mark Needham is a graph advocate and developer relations engineer for Neo Technology, the company behind the Neo4j graph database.</p> <p>As a developer relations engineer, Mark helps users embrace graph data and Neo4j, building sophisticated solutions to challenging data problems. Mark previously worked in engineering on the clustering team, helping to build the Causal Clustering feature released in Neo4j 3.1. Mark writes about his experiences of being a graphista on a popular blog at markhneedham.com. He tweets at @markhneedham.</p> <p>Jesús Barrasa is an engineer based in London. He's currently heading Neo4j's, Global Telecom Practice where his mission is to get all Telcos in the world getting value from graphs with Neo4j.</p> <p>He combines over 15 years of professional experience in consulting in the Information Management space. Prior to joining Neo Technology, Jesús worked at Ontology (now EXFO) for seven years, where he got the first-hand experience with large graph DB deployments in many successful projects for major Telecommunications companies all over the world. Jesús holds a PhD in Computer Science from the Technical University of Madrid, where he carried out his research on graph data modelling and Semantic Technologies. He blogs at <a href=""https://jesusbarrasa.wordpress.com/"" class=""linkified"">https://jesusbarrasa.wordpress.com/</a> and tweets occasionally at @BarrasaDV</p> <p>## Networking - 30 to n+30 minutes at will</p> <p>Sponsored by Neo4j, we'll meet at a nearby bar (to be announced at the end of the last session) and reflect upon what we learnt and how it feels to be a graphista :)</p> ",public,,70,,,24093359,Auditorio Google Campus Madrid,40.412940979003906,-3.7179219722747803,FALSE,"Calle de Manzanares, 1",,Madrid,es,Spain,,,1472848175e3,R-Ladies Madrid,20381623,open,40.41999816894531,-3.7100000381469727,rladies-madrid,R-Ladies,"Madrid, Spain",en_US,,,,,,
151729018e4,7200000,247304067,Create Websites in R and A Data Science Update.,upcoming,15187374e5,2018-02-15,18:30,151729018e4,-18000000,0,36,https://www.meetup.com/rladies-newyork/events/247304067/,"<p>Ever wanted to create an awesome blog or website showcasing your work or data science journey?  If so, this is the meetup for you - Emily Zabor will be giving us an awesome tutorial on how to use blogdown and markdown to create your very own website (just like rladiesnyc.org).</p> <p><br/>Emily earned her MS degree in biostatistics from the University of Minnesota in 2010 and has since worked as a Research Biostatistician at Memorial Sloan Kettering Cancer Center. Since 2012 she has also been pursuing a DrPH degree in biostatistics at Columbia University as a part time student. Her dissertation research is focused on statistical methods for the study of etiologic heterogeneity in cancer. Emily's statistical interests include methods for epidemiologic research, longitudinal analysis, and survival analysis. In her free time, Emily enjoys riding her bike to breweries, reading books and magazines, and doing crossword puzzles. </p> <p><br/>We will have a very special guest, Daniela Vázquez, who presented last year in the midst of her data science transition when she visited New York last year. She will now be coming to give us an update on her journey:)</p> <p><br/>Daniela is a Data Scientist at Idatha, a software company in<br/>Montevideo, Uruguay. Prior to Idatha, she worked at Equifax where she<br/>discovered Data Science and fell in love with it. She loves blogging<br/>and she does it both in English and Spanish, sharing whatever she is<br/>playing with at the moment (data visualization, tidytext, social media<br/>data, etc.) She is a member of the NASA Datanauts community and<br/>co-founder of two R-Ladies chapters: Buenos Aires and Montevideo.</p> <p>

Agenda:</p> <p>

6:30-6:45pm Light networking</p> <p>

6:45-6:55pm R-Ladies New York Announcements</p> <p>

6:55-7:35pm Creating Websites in R by Emily Zabor with Q&amp;A</p> <p>

7:35-8:00pm Data Science Update by Daniela Vázquez</p> <p>


8:00 - 8:30pm networking for R-ladies NewYork.</p> <p>

We want to thank our very generous host, AT&amp;T NYC Data Science Research Center(stats.research.att.com (<a href=""http://stats.research.att.com/""><a href=""http://stats.research.att.com/"" class=""linkified"">http://stats.research.att.com/</a></a>)) for having us in their space.</p> ",public,,60,PT24H,,25608394,AT&T NYC Data Science Research Center,40.71659469604492,-74.00605010986328,FALSE,"33 Thomas Street  New York, NY 10007",,New York,us,USA,"",NY,147198606e4,R-Ladies New York,20346526,open,40.75,-73.98999786376953,rladies-newyork,Rladies,"New York, NY",en_US,wepay,5,USD,per person,Price,TRUE
1517617792e3,,247435455,Tercer Meetup en el encuentro de Usuarixs de R,upcoming,15188292e5,2018-02-16,19:00,1517617792e3,-21600000,0,26,https://www.meetup.com/rladiescdmx/events/247435455/,"<p>¡​Chichxs!</p> <p>

¡<a href=""http://facultad.itam.mx/legacy/facultad/profesoresDetalles.php?id_profesor=274"">Ernesto J. Barrios</a>, profesor de estadística del ITAM, nos invita a que nuestro tercer encuentro sea dentro del marco de la Reunión de Usuarixs de R el jueves 15 y viernes 16 de febrero en el ITAM de Santa Teresa!​</p> <p>Si quieren <b>presentar sus trabajos o dar talleres</b> tenemos apartados los siguientes espacios apartados para nosotrxs el <b>viernes 16 de febrero</b>:​</p> <p>

​Sesión 5: 10:50-12:20 ​Presentación de RLadiesCDMX​<br/>Sesión 6: 12:40-14:10 <b>​3 a 4 presentaciones de RLadies de entre 15 y 20 minutos</b></p> <p>Taller ​3​: 16:00-16:55 <b>- Taller RLadiesTaller ​4:​ 17:05-18:00 - Taller RLadies</b>​¿Quién se apunta​?</p> <p><b><br/>Sólo tienen que registrarse en: <a href=""https://encuentrousuariosr.wixsite.com/itam2018/events/encuentro-de-usuarios-de-r-2018-1/form""><a href=""https://encuentrousuariosr.wixsite.com/itam2018/events/encuentro-de-usuarios-de-r-2018-1/form"" class=""linkified"">https://encuentrousuariosr.wixsite.com/itam2018/events/encuentro-de-usuarios-de-r-2018-1/form</a></a></b></p> <p><b><br/>(¿si se apuntan nos mandan un correíto a cdmx (at) rladies.org sólo para estar enteradas y difundir su evento por nuestras redes?)</p> <p>

​Un abrazo,<br/></b></p> <p><b>Silvia y Tere​</b></p> ",public,https://encuentrousuariosr.wixsite.com/itam2018/events/encuentro-de-usuarios-de-r-2018-1/form,80,PT24H,,18308742,ITAM,19.3110408782959,-99.223419189453125,FALSE,"Av. Camino a Sta. Teresa No. 930, Col. Heroes de Padierna México D.F. 10730",,México City,mx,Mexico,,,1499139383e3,RLadiesCDMX,24820200,open,19.43000030517578,-99.13999938964844,rladiescdmx,Miembrxs,"México City, Mexico",en_US,,,,,,
1517409128e3,14400000,247347882,Şubat Etkinliği: Regresyon Analizi ve R Uygulamaları,upcoming,15188634e5,2018-02-17,12:30,1517903979e3,7200000,36,40,https://www.meetup.com/rladies-istanbul/events/247347882/,"<p>• What we'll do<br/>Herkese merhaba,</p> <p>(Lütfen NOT'ları dikkatli okuyunuz)</p> <p>MEF Üniversitesi Büyük Veri Analitiği bölüm Koordinatörü Prof.Dr. Özgür Özlük'ün regresyon analizi konusunu anlatacağı ve R uygulamaları yapacağı etkinliğimizi kaçırmayın! Etkinlik başlangıç saati 12.30'dur.</p> <p>Katılımcıların laptop ve şarj aletleri ile gelmeleri, bilgisayarlarında R ve R Studio'nun kurulu olması, tidyverse paketinin yüklü olması beklenmektedir.</p> <p>NOT: Kısıtlı bir eğitim alanımız olduğu için eğitimlere KADIN ve LGBTI katılımcılar haricindekilerin gelmek istedikleri takdirde mail atmalarını ve durumu sormalarını rica ediyoruz. Geleceklerini belirtip sonradan gelemeyecek olan arkadaşlar da RSVP seçeneklerini değiştirirlerse, katılmak isteyenlere yer açılmış olur. Listede ismi yazılı olmayanlar etkinlik alanına alınmayacaklardır. Etkinlik alanına belirtilen saatten önce gelmemeniz önemle rica olunur.</p> <p>R indirmek için: <a href=""https://cran.r-project.org"" class=""linkified"">https://cran.r-project.org</a> (<a href=""https://cran.r-project.org/"" class=""linkified"">https://cran.r-project.org/</a>)</p> <p>R Studio indirmek için: <a href=""https://www.rstudio.com/products/rstudio/download/"" class=""linkified"">https://www.rstudio.com/products/rstudio/download/</a></p> <p>tidyverse indirmek için: install.packages(""tidyverse""), library(tidyverse)</p> <p>Etkinliğe gelmeden bu anketi doldurmanızı rica ediyoruz: anket linki (<a href=""https://goo.gl/forms/FNmqh4u6ZlQ7gTAB3"" class=""linkified"">https://goo.gl/forms/FNmqh4u6ZlQ7gTAB3</a>)</p> <p>• What to bring</p> <p>• Important to know</p> ",public,"Yenikapı-Hacıosman metrosunun İTÜ Ayazağa durağında inip, Windowist Tower tarafından çıktığınızda MEF Üniversitesi kampüsünün önünden geçen minibüslere binebilirsiniz. 10 dakika kadar sürecektir.",40,,,25722502,MEF Üniversitesi - Ayazağa Kampüsü,41.043148040771484,29.09237289428711,FALSE,Ayazağa Caddesi  ,No.4 34396 Maslak - Sarıyer - İstanbul ,istanbul,tr,Turkey,,,1473166132e3,R-Ladies Istanbul,20394109,open,41.0099983215332,28.959999084472656,rladies-istanbul,R-Ladies,"Istanbul, Turkey",en_US,,,,,,
1518382191058,7200000,246643162,Channeling Curiosity into R Data Visualization Projects - with Alex Albright,upcoming,15191676e5,2018-02-20,18:00,1518382191058,-18000000,0,39,https://www.meetup.com/rladies-boston/events/246643162/,,public_limited,,,,,,,,,,,,,,,,,1474065871e3,R-Ladies Boston,20433637,approval,42.36000061035156,-71.06999969482422,rladies-boston,R-ladies,"Boston, MA",en_US,,,,,,
1517775814e3,10800000,247489521,Lessons and highlights from the rOpenSci project,upcoming,15191028e5,2018-02-20,18:00,151838089e4,46800000,0,20,https://www.meetup.com/rladies-auckland/events/247489521/,"<p>Hi All!</p> <p>We are very excited to have another speaker visiting Auckland this February. If you are interested in R, whether a beginner or an expert, then put this in your diary!</p> <p>Doors open at 6pm<br/>Talk will commence at 6:30pm</p> <p># Speaker<br/>Karthik Ram is a Data Scientist at the Berkeley Institute for Data Science and Berkeley Institute for Global Change Biology. He is a co-founder of rOpenSci, a collective to support the development of R-based tools which facilitate open science and access to open data.</p> <p># Full Title<br/>Reproducible data science with R: Lessons and highlights from the rOpenSci project</p> <p># Summary<br/>The Open Science movement, which promotes sharing all artifacts of scientific research such as data, code, and methods, is becoming increasingly popular among researchers worldwide. This rapid increase in popularity is evidenced in the thriving ecosystem of tools and also numerous training initiatives that have sprung up at various institutions.</p> <p>One such effort in this space is the rOpenSci project (<a href=""https://ropensci.org"" class=""linkified"">https://ropensci.org</a>). Founded as a grassroots effort six years ago, the project works to promote open and reproducible research by enabling discovery of data, code and software, creating the technical and social infrastructure to enable reproducible research, and advocate for a culture of open science in various disciplines. This community driven project builds upon R’s popularity as a scientific research tool and fills in additional gaps in the computational pipeline by providing tools for data acquisition (from APIs and other source), data manipulation (including an emerging suite for spatial data analysis and mapping), data visualization tools, and data publication tools. Beyond tooling, the project has been working towards promoting best practices in scientific computing (beyond the R language itself) by developing a highly successful model for peer review of scientific software, mentorship, and community development.</p> <p>In this talk I’ll speak about the history and motivations behind the project, demo some of our recent tools that can streamline your data science workflow, and also talk about our efforts to build community through various initiatives.</p> <p>More details to follow.</p> ",public,,60,,,,,,,,,,,,,,,151119739e4,R-Ladies Auckland,26653882,open,-36.849998474121094,174.75999450683594,rladies-auckland,Members,"Auckland, New Zealand",en_US,,,,,,
1516732463e3,9000000,247091545,How to get your code organized with Rproject and github … ,upcoming,15191478e5,2018-02-20,18:30,1516732463e3,3600000,0,26,https://www.meetup.com/rladies-berlin/events/247091545/,<p>• Was wir unternehmen werden<br/>In our next Meetup Chrissy is going to talk about how to get your scripts organized.<br/>More information will follow!</p> <p>• Was sollst du mitbringen</p> <p><br/>• Wichtig zu wissen</p> ,public,,,,,24743276,Babbel,52.524627685546875,13.408201217651367,FALSE,Max-Beer-Strasse 2,,Berlin,de,Germany,,,1477914332e3,R-Ladies Berlin,20977178,open,52.52000045776367,13.380000114440918,rladies-berlin,R-Ladies,"Berlin, Germany",en_US,,,,,,
